Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.367978,0.399596,0.366528,0.394942,0.394942,19327910
2020-05-08,0.394942,0.443619,0.387885,0.433578,0.433578,17044526
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.366649,0.391346,0.360350,0.385093,0.385093,12511643
2020-05-17,0.385322,0.395673,0.382649,0.389160,0.389160,12896290
2020-05-18,0.388982,0.467221,0.375204,0.379241,0.379241,12840416
2020-05-19,0.379735,0.496231,0.375850,0.381899,0.381899,9799266
2020-05-20,0.381839,0.408461,0.370142,0.377284,0.377284,9363835
2020-05-21,0.377265,0.474275,0.352065,0.371752,0.371752,12086431
2020-05-22,0.371643,0.398399,0.359841,0.392245,0.392245,12370423
2020-05-23,0.392331,0.405009,0.381675,0.384496,0.384496,9696059
2020-05-24,0.383709,0.400109,0.372826,0.374016,0.374016,7784389
2020-05-25,0.372234,0.412950,0.370168,0.409459,0.409459,10005148
2020-05-26,0.409924,0.423470,0.393367,0.423433,0.423433,10017781
2020-05-27,0.423433,0.426274,0.392665,0.404688,0.404688,10560164
2020-05-28,0.405386,0.409887,0.394445,0.400971,0.400971,10070729
2020-05-29,0.401685,0.408670,0.393841,0.399352,0.399352,9634556
2020-05-30,0.399418,0.431045,0.397507,0.405567,0.405567,14959261
2020-05-31,0.405567,0.411436,0.383180,0.385030,0.385030,11953766
2020-06-01,0.387012,0.420892,0.384798,0.401533,0.401533,16436883
2020-06-02,0.402698,0.418741,0.386231,0.399926,0.399926,14726461
2020-06-03,0.399926,0.408448,0.391788,0.400331,0.400331,10520563
2020-06-04,0.401381,0.404992,0.388911,0.397867,0.397867,10082917
2020-06-05,0.398176,0.406985,0.397367,0.403107,0.403107,11162145
2020-06-06,0.403107,0.417356,0.398366,0.406711,0.406711,9558436
2020-06-07,0.406711,0.423252,0.393469,0.418890,0.418890,11596619
2020-06-08,0.416991,0.459248,0.414018,0.451116,0.451116,11967031
2020-06-09,0.449449,0.472120,0.442347,0.455325,0.455325,12459508
2020-06-10,0.456795,0.516154,0.356654,0.516154,0.516154,14158532
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.439539,0.446914,0.412040,0.416619,0.416619,7847177
2020-06-15,0.416619,0.420701,0.389397,0.417319,0.417319,11420722
2020-06-16,0.416570,0.441633,0.414296,0.429387,0.429387,9665696
2020-06-17,0.430663,0.435089,0.414607,0.428583,0.428583,9472650
2020-06-18,0.428583,0.462505,0.424500,0.444344,0.444344,9663316
2020-06-19,0.445356,0.475775,0.433649,0.472861,0.472861,11629943
2020-06-20,null,null,null,null,null,null
2020-06-21,0.463059,0.469886,0.433627,0.438951,0.438951,7034813
2020-06-22,null,null,null,null,null,null
2020-06-23,0.439379,0.463269,0.437901,0.451378,0.451378,4908911
2020-06-24,0.452254,0.469398,0.449186,0.463169,0.463169,5093294
2020-06-25,0.463592,0.525388,0.440773,0.513882,0.513882,8506765
2020-06-26,0.513925,0.567560,0.482275,0.558575,0.558575,12077713
2020-06-27,null,null,null,null,null,null
2020-06-28,0.494330,0.543038,0.473709,0.510253,0.510253,5368321
2020-06-29,0.510253,0.523264,0.486317,0.512828,0.512828,4409115
2020-06-30,0.512255,0.515669,0.487712,0.487712,0.487712,3517918
2020-07-01,0.488157,0.540734,0.475783,0.506995,0.506995,6472432
2020-07-02,0.506505,0.534716,0.493881,0.516148,0.516148,4429963
2020-07-03,0.515940,0.591112,0.507993,0.569602,0.569602,6831301
2020-07-04,0.568654,0.610387,0.566285,0.588010,0.588010,6679030
2020-07-05,0.588452,0.618155,0.545872,0.567094,0.567094,5061353
2020-07-06,0.567094,0.677705,0.565875,0.657813,0.657813,12193169
2020-07-07,0.657401,0.710478,0.633389,0.697898,0.697898,7872481
2020-07-08,0.702796,0.718458,0.668600,0.679111,0.679111,8664783
2020-07-09,0.679249,0.687350,0.629179,0.644728,0.644728,6336213
2020-07-10,0.645218,0.693503,0.631751,0.665632,0.665632,6628313
2020-07-11,0.664865,0.722755,0.652180,0.703743,0.703743,5427142
2020-07-12,0.704337,0.710401,0.678356,0.705571,0.705571,5180013
2020-07-13,0.705571,0.785352,0.699592,0.742892,0.742892,9406955
2020-07-14,0.741316,0.755631,0.673967,0.701525,0.701525,4494709
2020-07-15,0.701263,0.748742,0.688996,0.718301,0.718301,3936327
2020-07-16,0.718268,0.789748,0.702368,0.736021,0.736021,6549204
2020-07-17,0.735678,0.763922,0.720281,0.748660,0.748660,2994225
2020-07-18,0.748643,0.748643,0.712978,0.725703,0.725703,2979936
2020-07-19,0.726275,0.900615,0.720471,0.895776,0.895776,10773613
2020-07-20,0.893141,1.038416,0.854369,0.911289,0.911289,19961330
2020-07-21,0.907206,0.950833,0.838719,0.889768,0.889768,9959256
2020-07-22,0.889952,0.979451,0.879945,0.889252,0.889252,7088797
2020-07-23,0.889361,0.975258,0.882290,0.937371,0.937371,7390455
2020-07-24,0.937371,1.034653,0.921147,0.990206,0.990206,11588782
2020-07-25,0.989934,1.156471,0.971135,1.064183,1.064183,17169264
2020-07-26,1.063224,1.152398,1.042365,1.055063,1.055063,8722217
2020-07-27,1.054999,1.054999,0.868392,0.903322,0.903322,22244417
2020-07-28,0.901989,0.971511,0.870487,0.960603,0.960603,10928211
2020-07-29,0.957748,0.962357,0.875733,0.913239,0.913239,8918464
2020-07-30,0.914154,0.928351,0.888195,0.912978,0.912978,6458726
2020-07-31,0.912372,0.933971,0.852898,0.856225,0.856225,6994741
2020-08-01,0.856225,0.963468,0.832401,0.928270,0.928270,10643626
2020-08-02,0.927946,0.954497,0.792126,0.865697,0.865697,12279189
2020-08-03,0.865729,0.928838,0.859842,0.912823,0.912823,6779247
2020-08-04,0.912790,0.970995,0.901672,0.937267,0.937267,6442612
2020-08-05,0.936326,0.944109,0.895712,0.925448,0.925448,6093117
2020-08-06,0.925654,1.006983,0.914665,0.993618,0.993618,9421891
2020-08-07,0.992815,1.069358,0.964672,1.041023,1.041023,12098921
2020-08-08,1.042136,1.100753,1.013204,1.028020,1.028020,10667910
