Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.005659,0.005687,0.005528,0.005657,0.005657,1738561
2020-05-08,0.005657,0.005734,0.005526,0.005631,0.005631,1926577
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.004899,0.004986,0.004857,0.004982,0.004982,1351482
2020-05-17,0.004984,0.005004,0.004929,0.004963,0.004963,1435300
2020-05-18,0.004960,0.005238,0.004948,0.005096,0.005096,3163934
2020-05-19,0.005096,0.005337,0.005042,0.005192,0.005192,3278147
2020-05-20,0.005191,0.005268,0.004949,0.005170,0.005170,2448963
2020-05-21,0.005169,0.005509,0.005029,0.005376,0.005376,6039935
2020-05-22,0.005375,0.006585,0.005287,0.005790,0.005790,23157257
2020-05-23,0.005791,0.005865,0.005575,0.005819,0.005819,5494667
2020-05-24,0.005824,0.007044,0.005776,0.006539,0.006539,19209613
2020-05-25,0.006555,0.007010,0.006122,0.006308,0.006308,21623823
2020-05-26,0.006308,0.006357,0.005753,0.005941,0.005941,8340276
2020-05-27,0.005941,0.005953,0.005632,0.005823,0.005823,4782941
2020-05-28,0.005823,0.006918,0.005707,0.006596,0.006596,19016947
2020-05-29,0.006660,0.006660,0.006217,0.006574,0.006574,7704642
2020-05-30,0.006596,0.006659,0.006413,0.006483,0.006483,5192503
2020-05-31,0.006503,0.006635,0.006400,0.006471,0.006471,4821378
2020-06-01,0.006474,0.006633,0.006434,0.006621,0.006621,5154068
2020-06-02,0.006619,0.006932,0.006173,0.006649,0.006649,10055462
2020-06-03,0.006649,0.007037,0.006504,0.006953,0.006953,8274535
2020-06-04,0.006952,0.008491,0.006774,0.007445,0.007445,45200742
2020-06-05,0.007445,0.007634,0.006358,0.006560,0.006560,24314585
2020-06-06,0.006560,0.006630,0.006295,0.006526,0.006526,4680838
2020-06-07,0.006526,0.006553,0.006079,0.006397,0.006397,5325087
2020-06-08,0.006399,0.006502,0.006271,0.006357,0.006357,3347184
2020-06-09,0.006361,0.006373,0.006164,0.006236,0.006236,2693671
2020-06-10,0.006246,0.006291,0.006184,0.006254,0.006254,2198536
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.006024,0.006056,0.005871,0.005927,0.005927,1684005
2020-06-15,0.005929,0.005929,0.005370,0.005777,0.005777,3032478
2020-06-16,0.005771,0.005793,0.005653,0.005726,0.005726,1233495
2020-06-17,0.005725,0.005912,0.005641,0.005897,0.005897,3226612
2020-06-18,0.005900,0.005950,0.005838,0.005888,0.005888,5355234
2020-06-19,0.005888,0.006115,0.005781,0.005971,0.005971,6589203
2020-06-20,null,null,null,null,null,null
2020-06-21,0.005965,0.006145,0.005959,0.006022,0.006022,4957781
2020-06-22,null,null,null,null,null,null
2020-06-23,0.006178,0.006182,0.005973,0.006050,0.006050,6886107
2020-06-24,0.006048,0.006053,0.005703,0.005769,0.005769,11328868
2020-06-25,0.005767,0.005786,0.005446,0.005709,0.005709,11003264
2020-06-26,0.005707,0.005815,0.005480,0.005522,0.005522,10375552
2020-06-27,null,null,null,null,null,null
2020-06-28,0.005267,0.005383,0.005107,0.005347,0.005347,7754856
2020-06-29,0.005343,0.005443,0.005215,0.005329,0.005329,7123128
2020-06-30,0.005328,0.005378,0.005212,0.005299,0.005299,4057928
2020-07-01,0.005321,0.005504,0.005291,0.005492,0.005492,3268634
2020-07-02,0.005493,0.005497,0.005167,0.005289,0.005289,6640481
2020-07-03,0.005295,0.005354,0.005235,0.005301,0.005301,3754335
2020-07-04,0.005305,0.005403,0.005273,0.005373,0.005373,3402770
2020-07-05,0.005374,0.005410,0.005236,0.005279,0.005279,5064836
2020-07-06,0.005279,0.005426,0.005250,0.005405,0.005405,3188597
2020-07-07,0.005401,0.005530,0.005324,0.005530,0.005530,3055273
2020-07-08,0.005533,0.005751,0.005450,0.005744,0.005744,7289361
2020-07-09,0.005747,0.005756,0.005456,0.005539,0.005539,8826197
2020-07-10,0.005539,0.005701,0.005476,0.005701,0.005701,5161603
2020-07-11,0.005693,0.005896,0.005691,0.005877,0.005877,9785655
2020-07-12,0.005876,0.005903,0.005611,0.005769,0.005769,7516440
2020-07-13,0.005769,0.005825,0.005604,0.005613,0.005613,5517105
2020-07-14,0.005613,0.005620,0.005429,0.005524,0.005524,3821845
2020-07-15,0.005527,0.005528,0.005445,0.005473,0.005473,3192732
2020-07-16,0.005479,0.005509,0.005221,0.005368,0.005368,6234384
2020-07-17,0.005367,0.005427,0.005247,0.005365,0.005365,5786719
2020-07-18,0.005364,0.005455,0.005300,0.005429,0.005429,4344389
2020-07-19,0.005427,0.005596,0.005408,0.005596,0.005596,3038615
2020-07-20,0.005596,0.005596,0.005514,0.005586,0.005586,1954717
2020-07-21,0.005586,0.005620,0.005504,0.005609,0.005609,1899727
2020-07-22,0.005606,0.005804,0.005552,0.005731,0.005731,3119771
2020-07-23,0.005731,0.005731,0.005621,0.005631,0.005631,2142390
2020-07-24,0.005631,0.005649,0.005532,0.005575,0.005575,2058070
2020-07-25,0.005572,0.005649,0.005558,0.005620,0.005620,1937957
2020-07-26,0.005611,0.005614,0.005385,0.005445,0.005445,3438303
2020-07-27,0.005444,0.005467,0.005244,0.005350,0.005350,5370416
2020-07-28,0.005347,0.005475,0.005323,0.005459,0.005459,5086851
2020-07-29,0.005456,0.006012,0.005427,0.005804,0.005804,11317233
2020-07-30,0.005804,0.007127,0.005804,0.006010,0.006010,80381491
2020-07-31,0.005997,0.006019,0.005632,0.005712,0.005712,12313632
2020-08-01,0.005712,0.005752,0.005636,0.005717,0.005717,8385927
2020-08-02,0.005719,0.005751,0.005297,0.005429,0.005429,14175831
2020-08-03,0.005429,0.005573,0.005410,0.005512,0.005512,6381249
2020-08-04,0.005512,0.005549,0.005364,0.005444,0.005444,6752241
2020-08-05,0.005443,0.005491,0.005368,0.005438,0.005438,6434400
2020-08-06,0.005438,0.005606,0.005405,0.005536,0.005536,5541983
2020-08-07,0.005538,0.005605,0.005392,0.005492,0.005492,8851815
2020-08-08,0.005493,0.005672,0.005468,0.005571,0.005571,5997891
2020-08-09,0.005573,0.005923,0.005573,0.005865,0.005865,8557056
2020-08-10,0.005865,0.006358,0.005699,0.006116,0.006116,17257227
2020-08-11,0.006116,0.006790,0.005948,0.006185,0.006185,24113668
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.006142,0.006222,0.005990,0.006222,0.006222,4021800
2020-08-17,0.006222,0.006368,0.006116,0.006361,0.006361,6837038
2020-08-18,0.006340,0.006340,0.005945,0.006066,0.006066,5430151
2020-08-19,0.006062,0.006094,0.005831,0.005932,0.005932,5540022
2020-08-20,0.005932,0.006065,0.005837,0.006050,0.006050,4406850
2020-08-21,0.006050,0.006393,0.005935,0.006090,0.006090,11737726
2020-08-22,0.006077,0.006216,0.005886,0.006130,0.006130,8515022
2020-08-23,0.006139,0.006141,0.005990,0.006062,0.006062,4358449
2020-08-24,0.006059,0.006210,0.006027,0.006139,0.006139,6380047
2020-08-25,0.006133,0.006212,0.005852,0.005924,0.005924,5973597
2020-08-26,0.005928,0.005953,0.005815,0.005925,0.005925,5424326
2020-08-27,0.005924,0.005937,0.005609,0.005651,0.005651,6452559
2020-08-28,0.005651,0.005990,0.005630,0.005948,0.005948,5055016
2020-08-29,0.005945,0.005949,0.005805,0.005943,0.005943,4565676
2020-08-30,0.005946,0.005970,0.005880,0.005939,0.005939,3956702
2020-08-31,0.005938,0.005985,0.005852,0.005903,0.005903,4761550
2020-09-01,0.005902,0.005947,0.005821,0.005863,0.005863,5177321
2020-09-02,0.005861,0.005861,0.005461,0.005606,0.005606,6894751
2020-09-03,0.005601,0.005609,0.004997,0.005022,0.005022,7432834
2020-09-04,0.005045,0.005224,0.004928,0.005161,0.005161,6387283
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,0.004530,0.004538,0.004317,0.004516,0.004516,4362574
2020-09-23,0.004509,0.004799,0.004325,0.004331,0.004331,6606325
2020-09-24,0.004332,0.004538,0.004307,0.004527,0.004527,4201095
2020-09-25,0.004525,0.004799,0.004525,0.004680,0.004680,5934859
2020-09-26,0.004685,0.004810,0.004604,0.004742,0.004742,5918972
2020-09-27,0.004742,0.004826,0.004604,0.004682,0.004682,4681635
2020-09-28,0.004682,0.004826,0.004667,0.004722,0.004722,6067766
2020-09-29,0.004726,0.004815,0.004708,0.004756,0.004756,4608122
2020-09-30,0.004754,0.004776,0.004698,0.004761,0.004761,3512427
2020-10-01,0.004761,0.004827,0.004543,0.004706,0.004706,1406586
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.004507,0.004530,0.004414,0.004471,0.004471,2238262
2020-10-06,0.004467,0.004479,0.004347,0.004354,0.004354,2701045
2020-10-07,0.004354,0.004468,0.004324,0.004453,0.004453,2120829
2020-10-08,0.004451,0.004730,0.004442,0.004666,0.004666,2936474
2020-10-09,0.004663,0.005365,0.004579,0.004948,0.004948,9308412
2020-10-10,0.004939,0.005449,0.004883,0.004971,0.004971,10419484
2020-10-11,0.004964,0.004964,0.004744,0.004815,0.004815,3430565
2020-10-12,0.004815,0.004850,0.004713,0.004828,0.004828,3955661
2020-10-13,0.004826,0.004833,0.004711,0.004731,0.004731,3722376
2020-10-14,0.004731,0.004736,0.004570,0.004608,0.004608,3669072
2020-10-15,0.004610,0.004958,0.004610,0.004661,0.004661,5006898
2020-10-16,0.004665,0.004666,0.004433,0.004509,0.004509,3935991
2020-10-17,0.004509,0.004594,0.004491,0.004585,0.004585,2325599
2020-10-18,0.004594,0.004642,0.004575,0.004587,0.004587,2837497
2020-10-19,0.004585,0.004610,0.004480,0.004562,0.004562,2700886
2020-10-20,0.004562,0.004569,0.004474,0.004484,0.004484,2045829
2020-10-21,0.004485,0.004586,0.004478,0.004530,0.004530,3750489
2020-10-22,0.004534,0.004715,0.004532,0.004709,0.004709,3497291
2020-10-23,0.004709,0.005159,0.004659,0.004784,0.004784,4409125
2020-10-24,0.004784,0.004983,0.004720,0.004961,0.004961,4583330
2020-10-25,0.004961,0.004961,0.004741,0.004755,0.004755,3358230
2020-10-26,0.004755,0.004917,0.004628,0.004645,0.004645,4587022
2020-10-27,0.004645,0.004879,0.004613,0.004780,0.004780,4702147
2020-10-28,0.004780,0.004819,0.004621,0.004710,0.004710,4881484
2020-10-29,0.004710,0.004767,0.004602,0.004681,0.004681,4000912
2020-10-30,0.004681,0.004681,0.004452,0.004563,0.004563,4241024
2020-10-31,0.004563,0.004664,0.004484,0.004588,0.004588,4126258
2020-11-01,0.004588,0.004594,0.004515,0.004581,0.004581,3487814
2020-11-02,0.004581,0.004610,0.004412,0.004432,0.004432,3069649
2020-11-03,0.004432,0.004470,0.004182,0.004307,0.004307,4589709
2020-11-04,0.004307,0.004331,0.004209,0.004261,0.004261,3625602
2020-11-05,0.004261,0.004489,0.004260,0.004424,0.004424,5382387
2020-11-06,0.004424,0.004649,0.004412,0.004599,0.004599,5601536
2020-11-07,0.004599,0.004970,0.004447,0.004516,0.004516,8898903
2020-11-08,0.004512,0.004695,0.004512,0.004693,0.004693,4135975
2020-11-09,0.004693,0.004865,0.004450,0.004582,0.004582,5683186
2020-11-10,0.004582,0.004682,0.004542,0.004667,0.004667,4003042
2020-11-11,0.004667,0.005274,0.004609,0.004932,0.004932,12743198
2020-11-12,0.004932,0.005115,0.004729,0.004872,0.004872,10645016
2020-11-13,0.004872,0.004917,0.004760,0.004898,0.004898,5759528
2020-11-14,0.004898,0.004907,0.004724,0.004810,0.004810,3543277
2020-11-15,0.004810,0.004818,0.004677,0.004728,0.004728,3470766
2020-11-16,0.004728,0.004755,0.004663,0.004732,0.004732,3050693
2020-11-17,0.004675,0.004758,0.004653,0.004664,0.004664,3886056
2020-11-18,0.004664,0.004675,0.004468,0.004550,0.004550,4608641
2020-11-19,0.004550,0.004567,0.004430,0.004496,0.004496,3622819
2020-11-20,0.004496,0.004604,0.004488,0.004602,0.004602,3575723
2020-11-21,0.004602,0.004840,0.004518,0.004808,0.004808,6181236
2020-11-22,0.004808,0.004851,0.004608,0.004686,0.004686,6267435
2020-11-23,0.004686,0.004774,0.004628,0.004757,0.004757,4792561
2020-11-24,0.004763,0.005339,0.004693,0.005249,0.005249,16909247
2020-11-25,0.005253,0.005855,0.005088,0.005456,0.005456,7993051
2020-11-26,0.005454,0.005558,0.004545,0.004929,0.004929,6746899
2020-11-27,0.004943,0.004992,0.004657,0.004810,0.004810,5848223
2020-11-28,0.004810,0.005056,0.004794,0.004995,0.004995,6025958
2020-11-29,0.004999,0.005017,0.004900,0.004989,0.004989,4467477
2020-11-30,0.004989,0.005076,0.004842,0.005022,0.005022,6338108
2020-12-01,0.005030,0.005709,0.004961,0.005475,0.005475,23356178
2020-12-02,0.005470,0.005595,0.005220,0.005500,0.005500,13246608
2020-12-03,0.005534,0.005562,0.005263,0.005349,0.005349,5886225
2020-12-04,0.005352,0.005403,0.004958,0.004962,0.004962,5328262
2020-12-05,0.004960,0.005159,0.004933,0.005158,0.005158,4475152
2020-12-06,0.005162,0.005175,0.004965,0.005038,0.005038,3919120
2020-12-07,0.005039,0.005493,0.005039,0.005275,0.005275,9733322
2020-12-08,0.005265,0.005266,0.004913,0.004976,0.004976,5001779
2020-12-09,0.004964,0.004986,0.004726,0.004974,0.004974,3993147
2020-12-10,0.004965,0.005185,0.004856,0.005051,0.005051,5073363
2020-12-11,0.005055,0.005058,0.004718,0.004762,0.004762,3941015
2020-12-12,0.004759,0.004909,0.004759,0.004893,0.004893,3175968
2020-12-13,0.004893,0.004918,0.004834,0.004886,0.004886,3110146
2020-12-14,0.004888,0.004917,0.004823,0.004914,0.004914,2689234
2020-12-15,0.004909,0.004924,0.004826,0.004917,0.004917,2827002
2020-12-16,0.004917,0.005031,0.004838,0.005018,0.005018,3387565
2020-12-17,0.005029,0.005048,0.004914,0.004984,0.004984,4516660
2020-12-18,0.004984,0.005291,0.004920,0.005093,0.005093,8879181
2020-12-19,0.005092,0.005333,0.005040,0.005197,0.005197,3689420
2020-12-20,0.005199,0.005416,0.005086,0.005194,0.005194,3791550
2020-12-21,0.005202,0.005228,0.004782,0.004932,0.004932,3461093
2020-12-22,0.004923,0.004988,0.004706,0.004916,0.004916,3449032
2020-12-23,0.004909,0.005511,0.004288,0.004379,0.004379,5846499
2020-12-24,0.004397,0.004726,0.004323,0.004708,0.004708,3236771
2020-12-25,0.004711,0.005041,0.004614,0.004871,0.004871,11056590
2020-12-26,0.004866,0.005013,0.004712,0.004876,0.004876,3556948
2020-12-27,0.004876,0.005141,0.004714,0.004991,0.004991,5365111
2020-12-28,0.004989,0.005933,0.004840,0.005211,0.005211,6828438
2020-12-29,0.005210,0.005483,0.005000,0.005031,0.005031,4844644
