Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,1.008073,1.012760,0.989498,1.000924,1.000924,569477470
2020-05-08,1.000924,1.008711,0.994624,1.003993,1.003993,573933002
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,1.002666,1.004089,0.997301,0.999336,0.999336,590472282
2020-05-17,0.999702,1.004609,0.992698,1.001594,1.001594,623833304
2020-05-18,1.001437,1.008149,0.994010,1.001310,1.001310,556502433
2020-05-19,1.001290,1.007564,0.994299,0.995395,0.995395,645252420
2020-05-20,0.994619,1.009382,0.993936,0.999987,0.999987,654997591
2020-05-21,1.000159,1.011931,0.995218,1.001998,1.001998,639942387
2020-05-22,1.002603,1.005913,0.997529,1.003144,1.003144,479674913
2020-05-23,1.002704,1.005279,0.996527,1.004600,1.004600,418061541
2020-05-24,1.004670,1.014298,0.996152,1.002402,1.002402,420645623
2020-05-25,1.001491,1.004874,0.996154,1.002305,1.002305,427366175
2020-05-26,1.002066,1.007310,0.994466,0.999371,0.999371,386722721
2020-05-27,0.999371,1.005251,0.993993,1.002330,1.002330,447623269
2020-05-28,1.002170,1.004623,0.993065,0.998959,0.998959,477608688
2020-05-29,0.997983,1.006807,0.997443,1.002419,1.002419,445311776
2020-05-30,1.002612,1.005572,0.996198,1.003276,1.003276,478039732
2020-05-31,1.003276,1.008365,0.999511,1.002470,1.002470,437098476
2020-06-01,1.002180,1.005112,0.982529,1.002444,1.002444,511987831
2020-06-02,1.002725,1.008705,0.984132,0.998905,0.998905,517602290
2020-06-03,0.998807,1.004008,0.998053,0.999941,0.999941,370385643
2020-06-04,1.000093,1.004483,0.995087,1.001372,1.001372,292616628
2020-06-05,1.001556,1.009603,0.998374,1.002861,1.002861,267403161
2020-06-06,1.003396,1.006046,0.995014,0.998270,0.998270,249661876
2020-06-07,0.998252,1.005577,0.995682,1.001670,1.001670,278942203
