Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.061078,0.064041,0.054975,0.061042,0.061042,64
2020-05-08,0.061042,0.069408,0.060959,0.068074,0.068074,4305
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.064173,0.065762,0.063716,0.064547,0.064547,97
2020-05-17,0.064547,0.070407,0.064389,0.069353,0.069353,3
2020-05-18,0.069345,0.071027,0.068587,0.069664,0.069664,0
2020-05-19,0.069664,0.069664,0.068574,0.069031,0.069031,3
2020-05-20,0.069074,0.069757,0.062275,0.065908,0.065908,55
2020-05-21,0.065908,0.075120,0.062362,0.065007,0.065007,1276
2020-05-22,0.064993,0.066516,0.057215,0.061912,0.061912,44
2020-05-23,0.061921,0.064924,0.059725,0.064294,0.064294,2890
2020-05-24,0.064071,0.068910,0.062753,0.066286,0.066286,3045
2020-05-25,0.066488,0.074838,0.055747,0.070465,0.070465,6192
2020-05-26,0.070456,0.071117,0.066590,0.067406,0.067406,83
2020-05-27,0.067406,0.067754,0.055710,0.067632,0.067632,975
2020-05-28,0.067629,0.078395,0.067270,0.078225,0.078225,1858
2020-05-29,0.078228,0.088717,0.076432,0.082663,0.082663,2728
2020-05-30,0.082663,0.082663,0.076271,0.078184,0.078184,502
2020-05-31,0.078184,0.078193,0.076025,0.076387,0.076387,5
2020-06-01,0.076387,0.081403,0.075935,0.081031,0.081031,6
2020-06-02,0.081039,0.081239,0.073539,0.074526,0.074526,67
2020-06-03,0.074537,0.077401,0.074479,0.076972,0.076972,1238
2020-06-04,0.076985,0.077139,0.074221,0.076160,0.076160,25
2020-06-05,0.076161,0.077054,0.075865,0.076986,0.076986,0
2020-06-06,0.076986,0.135880,0.073949,0.083377,0.083377,2495
2020-06-07,0.083384,0.084417,0.078886,0.079821,0.079821,9
2020-06-08,0.079827,0.079875,0.079155,0.079414,0.079414,0
2020-06-09,0.079414,0.130774,0.071002,0.108970,0.108970,513
2020-06-10,0.108973,0.116725,0.094401,0.116725,0.116725,35
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.107633,0.133241,0.089939,0.093741,0.093741,5357
2020-06-15,0.093737,0.104090,0.090168,0.094249,0.094249,35
2020-06-16,0.094266,0.117963,0.093639,0.117874,0.117874,526
2020-06-17,0.117883,0.117935,0.108979,0.113138,0.113138,2
2020-06-18,0.113136,0.133085,0.092336,0.093250,0.093250,949
2020-06-19,0.093271,0.094678,0.090820,0.091576,0.091576,719
2020-06-20,null,null,null,null,null,null
2020-06-21,0.099459,0.125875,0.094075,0.102577,0.102577,184
