Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.001719,0.001779,0.001707,0.001740,0.001740,26679
2020-05-08,0.001740,0.001797,0.001716,0.001794,0.001794,34974
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.001606,0.001673,0.001594,0.001603,0.001603,26401
2020-05-17,0.001595,0.001684,0.001595,0.001679,0.001679,46078
2020-05-18,0.001679,0.001694,0.001639,0.001683,0.001683,47523
2020-05-19,0.001683,0.001704,0.001654,0.001673,0.001673,28766
2020-05-20,0.001673,0.001697,0.001657,0.001677,0.001677,25921
2020-05-21,0.001677,0.001924,0.001664,0.001881,0.001881,152699
2020-05-22,0.001881,0.002376,0.001755,0.002093,0.002093,357495
2020-05-23,0.002093,0.002157,0.001923,0.001980,0.001980,135716
2020-05-24,0.001980,0.002449,0.001927,0.002112,0.002112,508958
2020-05-25,0.002112,0.002179,0.001958,0.002016,0.002016,118809
2020-05-26,0.002016,0.002107,0.001983,0.002036,0.002036,64999
2020-05-27,0.002036,0.002045,0.001923,0.001994,0.001994,85471
2020-05-28,0.001994,0.002043,0.001918,0.001965,0.001965,65661
2020-05-29,0.001974,0.002029,0.001936,0.001981,0.001981,49771
2020-05-30,0.001981,0.002115,0.001920,0.002048,0.002048,89197
2020-05-31,0.002048,0.002099,0.001944,0.001989,0.001989,59591
2020-06-01,0.001989,0.002006,0.001946,0.001979,0.001979,37016
2020-06-02,0.001979,0.002136,0.001974,0.002020,0.002020,76159
2020-06-03,0.002020,0.002099,0.001978,0.002048,0.002048,60299
2020-06-04,0.002048,0.002063,0.002002,0.002060,0.002060,54899
2020-06-05,0.002060,0.002446,0.002037,0.002286,0.002286,221734
2020-06-06,0.002286,0.002674,0.002281,0.002419,0.002419,430721
2020-06-07,0.002419,0.002422,0.002188,0.002317,0.002317,167817
2020-06-08,0.002317,0.002354,0.002220,0.002296,0.002296,126418
2020-06-09,0.002279,0.002297,0.002179,0.002278,0.002278,88006
2020-06-10,0.002278,0.002381,0.002147,0.002348,0.002348,151547
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.002300,0.002368,0.002217,0.002316,0.002316,105006
2020-06-15,0.002316,0.002316,0.002122,0.002248,0.002248,107214
2020-06-16,0.002248,0.002256,0.002169,0.002236,0.002236,56783
