Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.003260,0.004049,0.002842,0.003343,0.003343,89788
2020-05-08,0.003264,0.004024,0.002997,0.003398,0.003398,107128
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.003704,0.004474,0.003574,0.004011,0.004011,123409
2020-05-17,0.003900,0.004599,0.003852,0.004004,0.004004,125029
2020-05-18,0.003975,0.004699,0.003975,0.004523,0.004523,174109
2020-05-19,0.004546,0.004684,0.003961,0.004477,0.004477,145600
2020-05-20,0.004449,0.004622,0.002568,0.003640,0.003640,121840
2020-05-21,0.003629,0.003989,0.002676,0.003469,0.003469,106691
2020-05-22,0.003480,0.003668,0.003074,0.003422,0.003422,117702
2020-05-23,0.003402,0.003776,0.003031,0.003539,0.003539,100116
2020-05-24,0.003553,0.003688,0.003296,0.003395,0.003395,110137
2020-05-25,0.003390,0.003642,0.003244,0.003317,0.003317,104569
2020-05-26,0.003307,0.004292,0.003307,0.004292,0.004292,115472
2020-05-27,0.004292,0.004340,0.003458,0.003776,0.003776,108647
2020-05-28,0.003766,0.003964,0.003655,0.003861,0.003861,134574
2020-05-29,0.003835,0.004105,0.003708,0.003749,0.003749,117104
2020-05-30,0.003785,0.004504,0.003705,0.004369,0.004369,132574
2020-05-31,0.004465,0.004501,0.004170,0.004215,0.004215,140802
2020-06-01,0.004215,0.004509,0.003875,0.004121,0.004121,144336
2020-06-02,0.004163,0.004705,0.003343,0.003552,0.003552,113581
2020-06-03,0.003552,0.003933,0.003198,0.003302,0.003302,109657
2020-06-04,0.003420,0.004045,0.003169,0.003324,0.003324,115537
2020-06-05,0.003324,0.003850,0.003312,0.003660,0.003660,109060
2020-06-06,0.003660,0.003794,0.003335,0.003401,0.003401,99492
2020-06-07,0.003401,0.003597,0.003300,0.003495,0.003495,106787
2020-06-08,0.003476,0.003614,0.003375,0.003426,0.003426,106216
2020-06-09,0.003448,0.003603,0.003378,0.003421,0.003421,123319
2020-06-10,0.003471,0.003613,0.003402,0.003537,0.003537,102260
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.003467,0.004059,0.003143,0.003525,0.003525,102893
2020-06-15,0.003525,0.004834,0.003064,0.004626,0.004626,144970
2020-06-16,0.004608,0.004873,0.004583,0.004740,0.004740,162267
2020-06-17,0.004742,0.004865,0.004626,0.004846,0.004846,184793
2020-06-18,0.004846,0.004912,0.004641,0.004791,0.004791,164524
2020-06-19,0.004786,0.005017,0.004698,0.004857,0.004857,163003
2020-06-20,null,null,null,null,null,null
2020-06-21,0.004891,0.005026,0.004869,0.004888,0.004888,161951
2020-06-22,null,null,null,null,null,null
2020-06-23,0.005398,0.005421,0.005169,0.005229,0.005229,170763
2020-06-24,0.005310,0.005467,0.004058,0.005040,0.005040,153156
2020-06-25,0.005037,0.005214,0.004929,0.005067,0.005067,170630
2020-06-26,0.005084,0.005204,0.003635,0.004902,0.004902,128748
2020-06-27,null,null,null,null,null,null
2020-06-28,0.004642,0.004945,0.004546,0.004818,0.004818,136700
2020-06-29,0.004818,0.004972,0.004557,0.004865,0.004865,140508
2020-06-30,0.004886,0.004981,0.004600,0.004635,0.004635,127820
2020-07-01,0.004647,0.005088,0.004595,0.004956,0.004956,143862
2020-07-02,0.004986,0.005193,0.003849,0.004308,0.004308,140014
2020-07-03,0.004207,0.005103,0.004207,0.004283,0.004283,132912
2020-07-04,0.004325,0.005049,0.004138,0.004749,0.004749,140730
2020-07-05,0.004837,0.005018,0.004153,0.004944,0.004944,151828
2020-07-06,0.004944,0.005175,0.003926,0.004939,0.004939,136810
2020-07-07,0.004998,0.005125,0.003957,0.004268,0.004268,148885
2020-07-08,0.004263,0.004916,0.004263,0.004865,0.004865,157809
2020-07-09,0.004867,0.005234,0.004591,0.004682,0.004682,132431
2020-07-10,0.004685,0.005149,0.004516,0.005002,0.005002,130118
2020-07-11,0.004953,0.005191,0.004905,0.005102,0.005102,145071
2020-07-12,0.005105,0.005205,0.004926,0.005014,0.005014,160834
2020-07-13,0.005014,0.005223,0.002945,0.004841,0.004841,152432
2020-07-14,0.004841,0.005107,0.004118,0.004882,0.004882,134466
2020-07-15,0.004949,0.005044,0.004695,0.004837,0.004837,146432
2020-07-16,0.004835,0.004836,0.003556,0.003918,0.003918,159554
2020-07-17,0.004069,0.004636,0.003419,0.004244,0.004244,133596
2020-07-18,0.004254,0.004718,0.004204,0.004546,0.004546,145687
2020-07-19,0.004569,0.004715,0.004210,0.004431,0.004431,120540
2020-07-20,0.004511,0.004734,0.004237,0.004387,0.004387,129070
2020-07-21,0.004387,0.005111,0.003909,0.004692,0.004692,126194
2020-07-22,0.004673,0.005325,0.004083,0.005064,0.005064,136161
2020-07-23,0.005064,0.005550,0.004434,0.005005,0.005005,141290
2020-07-24,0.005005,0.005435,0.004501,0.004954,0.004954,125568
2020-07-25,0.005005,0.005523,0.004173,0.005289,0.005289,114572
2020-07-26,0.005337,0.005520,0.003826,0.004654,0.004654,142792
2020-07-27,0.004654,0.005940,0.004343,0.005498,0.005498,133081
2020-07-28,0.005431,0.005777,0.004822,0.005252,0.005252,138817
2020-07-29,0.005272,0.005715,0.005036,0.005056,0.005056,153408
2020-07-30,0.005046,0.005276,0.004211,0.004825,0.004825,137685
2020-07-31,0.004679,0.005211,0.004406,0.004836,0.004836,145780
2020-08-01,0.004836,0.005809,0.003848,0.005544,0.005544,145011
2020-08-02,0.005540,0.005676,0.004853,0.005294,0.005294,152790
2020-08-03,0.005347,0.005872,0.002699,0.005528,0.005528,125478
2020-08-04,0.005528,0.006248,0.004786,0.004805,0.004805,152275
2020-08-05,0.004822,0.007041,0.003544,0.006109,0.006109,169730
2020-08-06,0.006109,0.006693,0.005667,0.006105,0.006105,155191
2020-08-07,0.006105,0.006436,0.004576,0.005564,0.005564,160294
2020-08-08,0.005585,0.006544,0.005394,0.006029,0.006029,183844
2020-08-09,0.005989,0.006454,0.005434,0.005542,0.005542,171544
2020-08-10,0.005489,0.006139,0.005293,0.005733,0.005733,199462
2020-08-11,0.005752,0.006069,0.004526,0.005269,0.005269,164688
2020-08-12,0.005377,0.006040,0.005130,0.005849,0.005849,171839
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.005583,0.005821,0.000976,0.004984,0.004984,243828
2020-08-17,0.004984,0.005694,0.003745,0.005088,0.005088,268627
2020-08-18,0.005077,0.005990,0.003715,0.004207,0.004207,196039
2020-08-19,0.004207,0.005001,0.003951,0.004371,0.004371,161488
2020-08-20,0.004371,0.006355,0.004117,0.004251,0.004251,245368
2020-08-21,0.004265,0.005483,0.003989,0.004092,0.004092,213744
2020-08-22,0.004196,0.005146,0.004024,0.004308,0.004308,201700
2020-08-23,0.004253,0.005259,0.004014,0.004499,0.004499,231299
2020-08-24,0.004499,0.005363,0.004127,0.004646,0.004646,309134
2020-08-25,0.004696,0.005333,0.002913,0.004171,0.004171,201055
2020-08-26,0.004269,0.005342,0.001540,0.003995,0.003995,185853
2020-08-27,0.004000,0.004927,0.002803,0.004384,0.004384,206185
2020-08-28,0.004313,0.004899,0.004186,0.004309,0.004309,235664
2020-08-29,0.004393,0.004888,0.004095,0.004114,0.004114,234567
2020-08-30,0.004099,0.005171,0.004064,0.004689,0.004689,201508
2020-08-31,0.004572,0.005392,0.003598,0.003982,0.003982,237031
2020-09-01,0.003979,0.005330,0.003445,0.003611,0.003611,217677
