Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,1.450400,1.623774,1.426075,1.582034,1.582034,375639
2020-05-08,1.582034,1.614160,1.439379,1.482627,1.482627,362040
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,1.566978,1.714783,1.536633,1.604031,1.604031,359549
2020-05-17,1.604481,1.703263,1.525790,1.660828,1.660828,366438
2020-05-18,1.668231,1.732892,1.593257,1.681587,1.681587,394301
2020-05-19,1.672187,1.674928,1.501334,1.508644,1.508644,364824
2020-05-20,1.509229,1.576679,1.487868,1.514895,1.514895,308923
2020-05-21,1.514964,1.568318,1.431521,1.499360,1.499360,253736
2020-05-22,1.499182,1.544903,1.433266,1.464061,1.464061,282641
2020-05-23,1.464178,1.530122,1.428130,1.456676,1.456676,362204
2020-05-24,1.456785,1.511048,1.405000,1.406173,1.406173,382041
2020-05-25,1.402167,1.482286,1.395407,1.443653,1.443653,240588
2020-05-26,1.443470,1.513149,1.441106,1.462602,1.462602,317994
2020-05-27,1.462602,1.514629,1.425557,1.465687,1.465687,270513
2020-05-28,1.465607,1.570429,1.454048,1.510831,1.510831,311067
2020-05-29,1.510783,1.564552,1.495812,1.517400,1.517400,370446
2020-05-30,1.517030,1.562541,1.439476,1.476011,1.476011,249610
2020-05-31,1.475998,1.515750,1.424141,1.446910,1.446910,361404
2020-06-01,1.446586,1.580365,1.441401,1.573501,1.573501,374588
2020-06-02,1.573823,1.591338,1.449329,1.473277,1.473277,273955
2020-06-03,1.473277,1.521062,1.428253,1.491651,1.491651,222962
2020-06-04,1.491936,1.512971,1.418045,1.489679,1.489679,302324
2020-06-05,1.489679,1.515883,1.443932,1.460850,1.460850,350594
2020-06-06,1.460850,1.485704,1.415003,1.456504,1.456504,307926
2020-06-07,1.456504,1.486714,1.417101,1.464417,1.464417,238909
2020-06-08,1.464585,1.481655,1.437275,1.465128,1.465128,274280
2020-06-09,1.465109,1.479341,1.419921,1.476380,1.476380,180198
2020-06-10,1.476460,1.479520,1.244412,1.449586,1.449586,264599
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,1.326207,1.339763,1.299963,1.311156,1.311156,241984
2020-06-15,1.311156,1.422493,1.254242,1.404435,1.404435,244990
2020-06-16,1.404017,1.467874,1.374313,1.444398,1.444398,251189
2020-06-17,1.443928,1.501526,1.412614,1.451868,1.451868,222514
2020-06-18,1.451868,1.481117,1.353269,1.399221,1.399221,232782
2020-06-19,1.400785,1.418277,1.351915,1.356903,1.356903,174419
2020-06-20,null,null,null,null,null,null
2020-06-21,1.382105,1.396913,1.370433,1.370759,1.370759,322388
2020-06-22,null,null,null,null,null,null
