Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,0.098530,0.101672,0.094751,0.097816,0.097816,6887
2014-09-18,0.097916,0.098799,0.086423,0.089561,0.089561,8557
2014-09-19,0.089595,0.092469,0.081383,0.082101,0.082101,9939
2014-09-20,0.081778,0.086704,0.080256,0.083602,0.083602,7093
2014-09-21,0.083429,0.084147,0.078971,0.081322,0.081322,3982
2014-09-22,0.081369,0.082874,0.080423,0.080591,0.080591,3466
2014-09-23,0.080578,0.090896,0.076607,0.088989,0.088989,8021
2014-09-24,0.088980,0.088980,0.078764,0.079289,0.079289,5404
2014-09-25,0.079281,0.080250,0.071440,0.074233,0.074233,10676
2014-09-26,0.074204,0.074204,0.064656,0.065052,0.065052,9890
2014-09-27,0.064943,0.069086,0.061485,0.064524,0.064524,7821
2014-09-28,0.064518,0.065629,0.056962,0.057433,0.057433,5204
2014-09-29,0.057406,0.063399,0.056707,0.060648,0.060648,3907
2014-09-30,0.060741,0.063631,0.058236,0.060138,0.060138,3243
2014-10-01,0.060233,0.063264,0.058009,0.058472,0.058472,4176
2014-10-02,0.060289,0.060289,0.055375,0.055838,0.055838,3178
2014-10-03,0.055854,0.055856,0.050864,0.051103,0.051103,5315
2014-10-04,0.051151,0.051191,0.046406,0.046901,0.046901,4230
2014-10-05,0.046906,0.048759,0.037613,0.040457,0.040457,4914
2014-10-06,0.040441,0.047011,0.038420,0.044601,0.044601,1776
2014-10-07,0.044615,0.047269,0.039719,0.040590,0.040590,2591
2014-10-08,0.040574,0.044144,0.039687,0.043729,0.043729,2385
2014-10-09,0.043742,0.053505,0.043460,0.051937,0.051937,6247
2014-10-10,0.051892,0.057535,0.051892,0.053352,0.053352,4619
2014-10-11,0.053324,0.067414,0.051844,0.061467,0.061467,10962
2014-10-12,0.061516,0.065815,0.058612,0.064198,0.064198,5245
2014-10-13,0.064014,0.068699,0.061724,0.067142,0.067142,2990
2014-10-14,0.067327,0.068649,0.060642,0.061278,0.061278,2617
