Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.154236,0.155145,0.148452,0.152675,0.152675,748583
2020-05-08,0.152427,0.166579,0.152427,0.163148,0.163148,1424387
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.158848,0.163113,0.153563,0.156491,0.156491,598135
2020-05-17,0.156480,0.178973,0.156151,0.169809,0.169809,3114056
2020-05-18,0.169801,0.173095,0.165123,0.168015,0.168015,745416
2020-05-19,0.168016,0.168213,0.163053,0.164037,0.164037,635037
2020-05-20,0.163947,0.173668,0.163042,0.166541,0.166541,1074404
2020-05-21,0.166598,0.181538,0.162950,0.172662,0.172662,3120827
2020-05-22,0.172669,0.182137,0.167115,0.178001,0.178001,1750175
2020-05-23,0.177998,0.178574,0.172278,0.175518,0.175518,716292
2020-05-24,0.175446,0.183866,0.173382,0.174754,0.174754,1456932
2020-05-25,0.174627,0.185258,0.172687,0.184796,0.184796,1333329
2020-05-26,0.184845,0.197849,0.178377,0.181276,0.181276,1614158
2020-05-27,0.181276,0.184391,0.174429,0.184249,0.184249,1028820
2020-05-28,0.184096,0.184157,0.178410,0.180353,0.180353,864019
2020-05-29,0.180318,0.195653,0.180318,0.194940,0.194940,1301860
2020-05-30,0.195050,0.196312,0.191733,0.195067,0.195067,859562
2020-05-31,0.195067,0.201196,0.180398,0.181705,0.181705,1209606
2020-06-01,0.181971,0.198182,0.181251,0.192043,0.192043,1212879
2020-06-02,0.192229,0.220148,0.191853,0.209777,0.209777,3507415
2020-06-03,0.209777,0.220876,0.207028,0.209312,0.209312,1579014
2020-06-04,0.209422,0.210718,0.202327,0.204968,0.204968,1018847
2020-06-05,0.204911,0.211585,0.201523,0.201655,0.201655,1010259
2020-06-06,0.201655,0.207767,0.200241,0.207373,0.207373,598005
2020-06-07,0.207373,0.209998,0.199615,0.207842,0.207842,659495
2020-06-08,0.207776,0.226186,0.206315,0.215532,0.215532,2011050
2020-06-09,0.216060,0.223810,0.211805,0.216074,0.216074,1115858
2020-06-10,0.215975,0.223831,0.212984,0.221786,0.221786,1365172
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.239380,0.262578,0.236231,0.239871,0.239871,2488003
2020-06-15,0.239871,0.240338,0.206844,0.233744,0.233744,2263892
2020-06-16,0.233645,0.241386,0.228571,0.229175,0.229175,1095162
2020-06-17,0.228838,0.233558,0.223662,0.229335,0.229335,908325
2020-06-18,0.229335,0.250065,0.227933,0.244833,0.244833,2266383
2020-06-19,0.247477,0.248574,0.224834,0.225199,0.225199,1208610
2020-06-20,null,null,null,null,null,null
2020-06-21,0.230801,0.248692,0.230801,0.242894,0.242894,1562981
2020-06-22,null,null,null,null,null,null
2020-06-23,0.255848,0.260858,0.244189,0.246526,0.246526,1214564
2020-06-24,0.246454,0.250063,0.226528,0.233393,0.233393,1190852
2020-06-25,0.233130,0.233219,0.221498,0.222281,0.222281,1001822
2020-06-26,0.222171,0.225897,0.209530,0.209622,0.209622,1059715
2020-06-27,null,null,null,null,null,null
2020-06-28,0.192224,0.204439,0.188671,0.203487,0.203487,771803
2020-06-29,0.203487,0.205919,0.193968,0.197563,0.197563,880185
2020-06-30,0.197559,0.199840,0.194591,0.196061,0.196061,478520
2020-07-01,0.196086,0.202434,0.194006,0.199519,0.199519,572723
2020-07-02,0.199531,0.212924,0.195522,0.207559,0.207559,1385445
2020-07-03,0.207722,0.219535,0.206230,0.208052,0.208052,1454479
2020-07-04,0.208026,0.210719,0.204257,0.209824,0.209824,1005081
2020-07-05,0.209702,0.210786,0.196973,0.200417,0.200417,695058
2020-07-06,0.200417,0.213641,0.199960,0.209649,0.209649,889014
2020-07-07,0.209445,0.216760,0.206552,0.216422,0.216422,929451
2020-07-08,0.216473,0.226469,0.215938,0.220644,0.220644,1477693
2020-07-09,0.220665,0.238536,0.218168,0.223954,0.223954,1514585
2020-07-10,0.223928,0.227698,0.213067,0.224729,0.224729,971140
2020-07-11,0.224918,0.229000,0.220175,0.221687,0.221687,1162274
2020-07-12,0.221606,0.231314,0.218247,0.219369,0.219369,1324959
2020-07-13,0.219369,0.235978,0.218660,0.231888,0.231888,1911637
2020-07-14,0.231151,0.242656,0.226679,0.232302,0.232302,2106024
2020-07-15,0.232260,0.236829,0.223878,0.225870,0.225870,1155545
2020-07-16,0.225534,0.225742,0.209735,0.217996,0.217996,1516702
2020-07-17,0.218187,0.249138,0.214606,0.247559,0.247559,3848532
2020-07-18,0.247615,0.254674,0.241121,0.246420,0.246420,2794674
2020-07-19,0.246628,0.246689,0.233359,0.243592,0.243592,1784993
2020-07-20,0.243779,0.283930,0.240438,0.274920,0.274920,4139325
2020-07-21,0.274660,0.286225,0.253047,0.262867,0.262867,2591963
2020-07-22,0.262997,0.285117,0.261111,0.268476,0.268476,2448685
2020-07-23,0.268354,0.289714,0.268047,0.283141,0.283141,2900645
2020-07-24,0.283141,0.322485,0.271345,0.315123,0.315123,6279469
2020-07-25,0.315312,0.330228,0.287337,0.295513,0.295513,5209827
2020-07-26,0.294841,0.304696,0.273501,0.285066,0.285066,3384278
2020-07-27,0.284900,0.285535,0.237161,0.258314,0.258314,4420946
2020-07-28,0.256924,0.276717,0.253638,0.266951,0.266951,2253922
2020-07-29,0.266866,0.284772,0.257548,0.260527,0.260527,3216574
2020-07-30,0.260703,0.277423,0.258678,0.269138,0.269138,2120288
2020-07-31,0.269144,0.269144,0.256369,0.262102,0.262102,1746443
2020-08-01,0.262102,0.270942,0.260765,0.265036,0.265036,1709202
2020-08-02,0.265097,0.273351,0.250668,0.267133,0.267133,2013630
2020-08-03,0.267447,0.275480,0.262839,0.266883,0.266883,1518842
2020-08-04,0.266871,0.274460,0.262814,0.272913,0.272913,1413908
2020-08-05,0.272895,0.273577,0.261874,0.265273,0.265273,2012945
2020-08-06,0.265142,0.304810,0.261868,0.295214,0.295214,4228446
2020-08-07,0.294808,0.301056,0.275406,0.288581,0.288581,6666858
2020-08-08,0.288146,0.303836,0.287647,0.303638,0.303638,2298914
2020-08-09,0.303503,0.326896,0.294916,0.326896,0.326896,3270724
2020-08-10,0.326470,0.406809,0.313127,0.380644,0.380644,11345986
2020-08-11,0.380593,0.381019,0.334090,0.369869,0.369869,12133427
2020-08-12,0.369938,0.429943,0.369415,0.410877,0.410877,7283196
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.410945,0.439168,0.395864,0.430422,0.430422,3776157
2020-08-17,0.430422,0.465344,0.406407,0.422919,0.422919,5774474
2020-08-18,0.422717,0.448330,0.392745,0.404629,0.404629,3897361
2020-08-19,0.404629,0.407540,0.367425,0.379098,0.379098,3539704
2020-08-20,0.379105,0.439030,0.377985,0.435574,0.435574,3729307
2020-08-21,0.436186,0.493342,0.423945,0.430816,0.430816,8156792
2020-08-22,0.429808,0.493089,0.404389,0.464767,0.464767,5655760
2020-08-23,0.464756,0.466041,0.433018,0.442481,0.442481,3409982
2020-08-24,0.442574,0.453854,0.436392,0.443350,0.443350,2762644
2020-08-25,0.443670,0.446159,0.381268,0.398304,0.398304,3176249
2020-08-26,0.397985,0.414888,0.389052,0.389784,0.389784,3150395
2020-08-27,0.389690,0.393632,0.339133,0.354891,0.354891,4622927
2020-08-28,0.354923,0.377845,0.350375,0.371638,0.371638,2216876
2020-08-29,0.371927,0.403262,0.370800,0.394744,0.394744,2309365
2020-08-30,0.394840,0.398019,0.384196,0.396905,0.396905,2862746
2020-08-31,0.396878,0.397403,0.378362,0.384083,0.384083,1714488
2020-09-01,0.383917,0.589022,0.378622,0.491271,0.491271,25815534
2020-09-02,0.489198,0.544084,0.445787,0.538047,0.538047,12206724
2020-09-03,0.540624,0.557415,0.389107,0.396173,0.396173,7379879
2020-09-04,0.397185,0.445829,0.384137,0.413311,0.413311,3999797
2020-09-05,0.413499,0.428397,0.300646,0.324364,0.324364,3746288
2020-09-06,0.324364,0.364178,0.306300,0.350747,0.350747,3416638
2020-09-07,0.351269,0.358263,0.299108,0.337313,0.337313,2690404
2020-09-08,0.337332,0.348592,0.313760,0.323541,0.323541,1996556
2020-09-09,0.323878,0.348187,0.308397,0.337732,0.337732,1499467
2020-09-10,0.338340,0.369737,0.333977,0.358296,0.358296,2198291
2020-09-11,0.358483,0.397397,0.333232,0.388372,0.388372,3904577
2020-09-12,0.387546,0.431425,0.378624,0.418751,0.418751,3727186
2020-09-13,0.418523,0.420301,0.359271,0.378542,0.378542,2414051
2020-09-14,0.378613,0.396190,0.372573,0.380447,0.380447,1676810
2020-09-15,0.380387,0.385969,0.351669,0.360179,0.360179,1634863
2020-09-16,0.360142,0.361455,0.334918,0.339918,0.339918,1323880
