Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.172596,0.173466,0.164790,0.169336,0.169336,1332364
2020-05-08,0.169152,0.181286,0.166137,0.179068,0.179068,1427529
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.153333,0.159234,0.152007,0.157579,0.157579,773873
2020-05-17,0.157170,0.165301,0.156861,0.158897,0.158897,893930
2020-05-18,0.158897,0.170567,0.158627,0.163133,0.163133,1320230
2020-05-19,0.163169,0.163827,0.156908,0.161063,0.161063,870939
2020-05-20,0.160947,0.170205,0.158949,0.164551,0.164551,1616962
2020-05-21,0.164519,0.166925,0.152839,0.155361,0.155361,1210075
2020-05-22,0.155449,0.176935,0.154701,0.172909,0.172909,4096151
2020-05-23,0.172894,0.191016,0.169789,0.191016,0.191016,4773913
2020-05-24,0.191138,0.196607,0.177030,0.179419,0.179419,4689678
2020-05-25,0.179448,0.189844,0.174386,0.187901,0.187901,2334131
2020-05-26,0.187806,0.190473,0.178387,0.185245,0.185245,2284309
2020-05-27,0.185245,0.198499,0.183225,0.191909,0.191909,3371597
2020-05-28,0.191886,0.214956,0.191499,0.199956,0.199956,5108754
2020-05-29,0.199209,0.201157,0.184787,0.192764,0.192764,2000929
2020-05-30,0.192719,0.194276,0.184807,0.193541,0.193541,1682004
2020-05-31,0.193541,0.196881,0.183819,0.185081,0.185081,1257004
2020-06-01,0.185448,0.196959,0.184911,0.192506,0.192506,1373728
2020-06-02,0.193030,0.205059,0.183669,0.187486,0.187486,1780758
2020-06-03,0.187486,0.196788,0.186603,0.191882,0.191882,2069285
2020-06-04,0.191887,0.196260,0.188509,0.196257,0.196257,1143360
2020-06-05,0.196690,0.198216,0.187644,0.187683,0.187683,900422
2020-06-06,0.187683,0.194667,0.183033,0.193689,0.193689,1031179
2020-06-07,0.193689,0.198665,0.180768,0.187819,0.187819,1937923
2020-06-08,0.187837,0.195317,0.186731,0.190375,0.190375,1480347
2020-06-09,0.190582,0.198212,0.188287,0.195279,0.195279,1665065
2020-06-10,0.195252,0.207333,0.194985,0.205928,0.205928,1886777
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.194391,0.197563,0.179850,0.180707,0.180707,721380
2020-06-15,0.180707,0.192415,0.170864,0.179379,0.179379,1804615
2020-06-16,0.179393,0.260836,0.177062,0.221602,0.221602,29152739
2020-06-17,0.221527,0.228898,0.206441,0.214501,0.214501,7955308
2020-06-18,0.214501,0.224014,0.203659,0.219454,0.219454,5252182
2020-06-19,0.219077,0.227014,0.202103,0.204466,0.204466,4542250
2020-06-20,null,null,null,null,null,null
2020-06-21,0.202531,0.215643,0.200240,0.215014,0.215014,1388209
2020-06-22,null,null,null,null,null,null
2020-06-23,0.210788,0.214997,0.206505,0.208633,0.208633,2470190
2020-06-24,0.208799,0.210340,0.191224,0.194675,0.194675,3314175
2020-06-25,0.194102,0.201742,0.185608,0.199521,0.199521,2107862
2020-06-26,0.199727,0.207632,0.191996,0.200011,0.200011,1385279
2020-06-27,null,null,null,null,null,null
2020-06-28,0.199333,0.203107,0.195661,0.198004,0.198004,1036992
2020-06-29,0.198004,0.208669,0.197540,0.204744,0.204744,818542
2020-06-30,0.204683,0.208551,0.184533,0.190054,0.190054,3247688
2020-07-01,0.189948,0.209292,0.184319,0.206499,0.206499,890676
2020-07-02,0.206499,0.206860,0.181612,0.187646,0.187646,3646559
2020-07-03,0.187686,0.208280,0.184813,0.200492,0.200492,1104251
2020-07-04,0.200428,0.202389,0.196478,0.201607,0.201607,959264
2020-07-05,0.201257,0.211664,0.181281,0.210919,0.210919,691539
2020-07-06,0.210919,0.212816,0.184540,0.204683,0.204683,1394612
2020-07-07,0.204719,0.204719,0.188010,0.196023,0.196023,1055419
2020-07-08,0.196031,0.204087,0.195991,0.200217,0.200217,1827710
2020-07-09,0.200217,0.200772,0.189987,0.191369,0.191369,1403743
2020-07-10,0.191275,0.200668,0.187524,0.199517,0.199517,1301534
2020-07-11,0.199506,0.225253,0.196933,0.221547,0.221547,4004181
2020-07-12,0.222320,0.240615,0.206166,0.213504,0.213504,13622334
2020-07-13,0.213504,0.236103,0.213127,0.216879,0.216879,8668560
2020-07-14,0.217115,0.234753,0.212641,0.234679,0.234679,3640292
2020-07-15,0.234757,0.235178,0.225555,0.233469,0.233469,2615522
2020-07-16,0.233505,0.233931,0.211695,0.218171,0.218171,4350383
2020-07-17,0.218203,0.225269,0.215614,0.224039,0.224039,1410115
2020-07-18,0.224636,0.235778,0.221279,0.233302,0.233302,2924250
2020-07-19,0.234222,0.245349,0.229364,0.241759,0.241759,7767811
2020-07-20,0.241911,0.279334,0.241790,0.247216,0.247216,24606664
2020-07-21,0.246426,0.250974,0.221842,0.223157,0.223157,6976106
2020-07-22,0.223173,0.236623,0.222175,0.228329,0.228329,3900745
2020-07-23,0.228294,0.234118,0.218550,0.220389,0.220389,3240675
2020-07-24,0.220350,0.223391,0.214086,0.217097,0.217097,1349377
2020-07-25,0.217229,0.224359,0.215415,0.222860,0.222860,1792319
2020-07-26,0.222473,0.228906,0.211115,0.214821,0.214821,2434157
2020-07-27,0.214778,0.217382,0.204626,0.207586,0.207586,2849745
2020-07-28,0.207611,0.220046,0.206910,0.216620,0.216620,1738741
2020-07-29,0.216788,0.230368,0.216689,0.227755,0.227755,2097125
2020-07-30,0.227746,0.228023,0.214507,0.223457,0.223457,2004285
2020-07-31,0.223460,0.226640,0.214789,0.215653,0.215653,1975582
2020-08-01,0.215653,0.225505,0.214777,0.216604,0.216604,5284951
2020-08-02,0.217044,0.223894,0.206378,0.214094,0.214094,2171146
2020-08-03,0.214602,0.222667,0.212884,0.218451,0.218451,1539342
2020-08-04,0.218450,0.230985,0.217127,0.228156,0.228156,1516608
2020-08-05,0.228067,0.236374,0.221733,0.232303,0.232303,1780896
2020-08-06,0.232138,0.242553,0.230895,0.236191,0.236191,2340986
