Date,Open,High,Low,Close,Adj Close,Volume
2017-01-11,0.022819,0.022819,0.020431,0.021388,0.021388,1600
2017-01-12,0.021317,0.022557,0.020380,0.021972,0.021972,4757
2017-01-13,0.021942,0.022666,0.021294,0.022660,0.022660,5041
2017-01-14,0.022691,0.030693,0.022691,0.025371,0.025371,4871
2017-01-15,0.025362,0.025523,0.023010,0.023010,0.023010,1390
2017-01-16,0.023010,0.025068,0.022968,0.023283,0.023283,2695
2017-01-17,0.023266,0.032022,0.023266,0.031587,0.031587,2002
2017-01-18,0.031637,0.031920,0.027179,0.027485,0.027485,533
2017-01-19,0.027538,0.030425,0.027415,0.027871,0.027871,908
2017-01-20,0.027843,0.033278,0.026043,0.033116,0.033116,2263
2017-01-21,0.033135,0.038805,0.033135,0.038532,0.038532,3169
2017-01-22,0.038548,0.041610,0.037689,0.041610,0.041610,2679
2017-01-23,0.041648,0.043601,0.037761,0.037761,0.037761,1308
2017-01-24,0.037338,0.060540,0.037002,0.059632,0.059632,7139
2017-01-25,0.059581,0.078434,0.051403,0.078434,0.078434,13766
2017-01-26,0.080196,0.081509,0.055099,0.055101,0.055101,7673
2017-01-27,0.055101,0.076511,0.046037,0.073580,0.073580,8670
2017-01-28,0.073585,0.077873,0.058168,0.077856,0.077856,3806
2017-01-29,0.077887,0.078001,0.071234,0.072732,0.072732,491
2017-01-30,0.072784,0.073783,0.055223,0.055223,0.055223,2848
2017-01-31,0.055257,0.074758,0.055257,0.064532,0.064532,730
2017-02-01,0.064568,0.075616,0.058342,0.063377,0.063377,3491
2017-02-02,0.063439,0.075852,0.063017,0.075743,0.075743,470
2017-02-03,0.075718,0.077395,0.069750,0.070055,0.070055,540
2017-02-04,0.070151,0.077894,0.065649,0.077894,0.077894,2331
2017-02-05,0.077941,0.077949,0.064951,0.065267,0.065267,267
2017-02-06,0.065334,0.076781,0.065319,0.076304,0.076304,926
2017-02-07,0.076450,0.076778,0.071873,0.076736,0.076736,215
2017-02-08,0.076806,0.082829,0.072563,0.078667,0.078667,2943
2017-02-09,0.078788,0.080948,0.059823,0.069597,0.069597,1706
2017-02-10,0.069684,0.072016,0.059216,0.069197,0.069197,2207
2017-02-11,0.069213,0.070640,0.068788,0.070302,0.070302,513
2017-02-12,0.070236,0.070236,0.061972,0.064947,0.064947,2011
2017-02-13,0.064928,0.068556,0.060571,0.067364,0.067364,69
2017-02-14,0.067438,0.068783,0.062352,0.067124,0.067124,192
2017-02-15,0.067235,0.067338,0.064304,0.064328,0.064328,418
2017-02-16,0.064338,0.065468,0.056483,0.065448,0.065448,1076
2017-02-17,0.065364,0.065694,0.051684,0.053357,0.053357,1168
2017-02-18,0.053510,0.069833,0.052628,0.052721,0.052721,566
2017-02-19,0.052738,0.068576,0.052253,0.053452,0.053452,1142
2017-02-20,0.053494,0.062099,0.053137,0.062099,0.062099,267
2017-02-21,0.062059,0.066469,0.060038,0.063238,0.063238,277
2017-02-22,0.063209,0.063209,0.059504,0.059504,0.059504,12
2017-02-23,0.059495,0.063526,0.050663,0.062991,0.062991,787
2017-02-24,0.063315,0.064809,0.061115,0.063056,0.063056,75
2017-02-25,0.059402,0.072876,0.059402,0.072634,0.072634,3117
2017-02-26,0.072661,0.072697,0.052226,0.070262,0.070262,39
2017-02-27,0.070176,0.070846,0.059562,0.060167,0.060167,121
2017-02-28,0.060205,0.073371,0.059751,0.071825,0.071825,359
2017-03-01,0.071829,0.075290,0.060270,0.062286,0.062286,1539
2017-03-02,0.062397,0.064305,0.061936,0.063176,0.063176,167
2017-03-03,0.063161,0.064656,0.063161,0.064058,0.064058,169
2017-03-04,0.063685,0.079342,0.063094,0.077819,0.077819,1543
2017-03-05,0.077766,0.079171,0.075943,0.077294,0.077294,1309
2017-03-06,0.077316,0.089269,0.077279,0.087825,0.087825,1184
2017-03-07,0.087852,0.088013,0.061143,0.084400,0.084400,129
2017-03-08,0.084378,0.084994,0.068638,0.080477,0.080477,1170
2017-03-09,0.080501,0.083499,0.070091,0.083075,0.083075,115
2017-03-10,0.083136,0.083679,0.066790,0.078148,0.078148,1461
2017-03-11,0.078120,0.083544,0.078120,0.082119,0.082119,214
2017-03-12,0.071953,0.082669,0.061775,0.063841,0.063841,809
2017-03-13,0.063862,0.086616,0.063726,0.086234,0.086234,2452
2017-03-14,0.086251,0.091369,0.073457,0.088536,0.088536,2583
2017-03-15,0.088547,0.088808,0.068595,0.073727,0.073727,1230
2017-03-16,0.073829,0.088008,0.069100,0.087423,0.087423,1392
2017-03-17,0.086860,0.086860,0.070792,0.076092,0.076092,405
2017-03-18,0.076055,0.076942,0.057990,0.067301,0.067301,2093
2017-03-19,0.067502,0.077033,0.055457,0.074625,0.074625,704
2017-03-20,0.074661,0.076259,0.073303,0.073796,0.073796,114
2017-03-21,0.073875,0.080714,0.067690,0.080578,0.080578,101
2017-03-22,0.080586,0.080586,0.072186,0.074489,0.074489,174
2017-03-23,0.074553,0.075119,0.073054,0.073740,0.073740,2
2017-03-24,0.073730,0.073873,0.030884,0.066555,0.066555,3077
2017-03-25,0.066485,0.069620,0.063260,0.069408,0.069408,784
2017-03-26,0.069496,0.071225,0.068081,0.068908,0.068908,682
2017-03-27,0.069288,0.073560,0.061310,0.067975,0.067975,284
2017-03-28,0.067898,0.075246,0.063142,0.074662,0.074662,211
2017-03-29,0.074585,0.080496,0.072432,0.079953,0.079953,2299
2017-03-30,0.080125,0.087574,0.073167,0.087144,0.087144,1191
2017-03-31,0.087162,0.090562,0.082230,0.084671,0.084671,212
2017-04-01,0.084665,0.090751,0.075559,0.090751,0.090751,535
2017-04-02,0.090760,0.092916,0.086526,0.092461,0.092461,177
2017-04-03,0.092527,0.096000,0.073058,0.085786,0.085786,1885
2017-04-04,0.085914,0.085970,0.067454,0.068108,0.068108,843
2017-04-05,0.081964,0.082044,0.077624,0.077947,0.077947,765
2017-04-06,0.078019,0.081177,0.069301,0.071079,0.071079,1171
2017-04-07,0.070854,0.081422,0.070439,0.070755,0.070755,134
2017-04-08,0.070500,0.082356,0.061871,0.062267,0.062267,3060
2017-04-09,0.062299,0.081326,0.062050,0.066176,0.066176,25
2017-04-10,0.066145,0.082021,0.066028,0.081853,0.081853,420
2017-04-11,0.081875,0.083937,0.069087,0.083724,0.083724,293
2017-04-12,0.083710,0.083872,0.070106,0.072022,0.072022,108
2017-04-13,0.072061,0.082522,0.070250,0.081265,0.081265,895
2017-04-14,0.081338,0.098676,0.081241,0.098062,0.098062,7342
2017-04-15,0.098041,0.116100,0.061896,0.093192,0.093192,8811
2017-04-16,0.093199,0.140946,0.091159,0.140746,0.140746,4788
2017-04-17,0.140783,0.141478,0.116444,0.141478,0.141478,1829
2017-04-18,0.141462,0.182157,0.141462,0.181508,0.181508,4840
2017-04-19,0.181577,0.204092,0.175760,0.181543,0.181543,5982
2017-04-20,0.181662,0.238176,0.178937,0.237065,0.237065,9423
2017-04-21,0.237131,0.238270,0.097776,0.097776,0.097776,1748
2017-04-22,0.097829,0.208665,0.097783,0.197074,0.197074,1700
