Date,Open,High,Low,Close,Adj Close,Volume
2017-08-27,1.058350,1.187000,1.027440,1.079630,1.079630,10689000
2017-08-28,1.088850,1.259900,0.803104,0.959098,0.959098,2767610
2017-08-29,0.933622,1.012680,0.648844,0.893933,0.893933,4040230
2017-08-30,0.888670,0.958105,0.524474,0.635370,0.635370,2348320
2017-08-31,0.641001,0.704322,0.508927,0.611966,0.611966,2638570
2017-09-01,0.608858,1.820830,0.540748,1.545970,1.545970,15663800
2017-09-02,1.568990,1.908730,1.185750,1.874260,1.874260,10974200
2017-09-03,1.821450,3.165790,1.655210,2.972740,2.972740,30155700
2017-09-04,2.956810,2.956810,0.974014,1.849860,1.849860,16344800
2017-09-05,1.837070,1.844920,0.523932,1.205710,1.205710,16728900
2017-09-06,1.184460,1.482320,0.934207,1.066400,1.066400,8262150
2017-09-07,1.005590,1.523910,0.966428,1.523910,1.523910,8630600
2017-09-08,1.569520,1.992060,1.110370,1.290560,1.290560,15172300
2017-09-09,1.296290,1.626020,1.180430,1.626020,1.626020,4611730
2017-09-10,1.606260,1.682700,1.334090,1.583050,1.583050,6472840
2017-09-11,1.588480,2.161390,1.585430,2.120960,2.120960,13896400
2017-09-12,2.124240,2.500180,1.699870,1.795420,1.795420,20894100
2017-09-13,1.818890,1.978130,1.630260,1.944780,1.944780,5015140
2017-09-14,1.898080,2.076390,1.518110,1.564970,1.564970,5627240
2017-09-15,1.551420,1.797850,1.096900,1.729450,1.729450,4709050
2017-09-16,1.745240,1.905730,1.553440,1.725740,1.725740,2172600
2017-09-17,1.728650,1.764040,1.523060,1.697280,1.697280,1102610
2017-09-18,1.694250,1.931610,1.682040,1.811610,1.811610,1501820
2017-09-19,1.816290,2.586580,1.433170,1.523330,1.523330,2457140
2017-09-20,1.521470,1.567840,1.162860,1.285770,1.285770,1736010
2017-09-21,1.265090,1.395160,1.168450,1.258270,1.258270,1456350
2017-09-22,1.292940,1.487450,1.232040,1.487450,1.487450,1572810
2017-09-23,1.481660,1.793360,1.481660,1.773950,1.773950,2115510
2017-09-24,1.782860,1.886570,1.588790,1.808980,1.808980,1746370
2017-09-25,1.803270,2.254570,1.782760,2.199170,2.199170,2975160
2017-09-26,2.202760,3.212410,2.138330,3.003800,3.003800,10433800
2017-09-27,2.858890,4.125120,2.770200,3.994990,3.994990,19088400
2017-09-28,4.008790,6.952770,3.795950,6.208340,6.208340,36777800
2017-09-29,6.224690,6.478070,4.407900,5.530970,5.530970,23391200
2017-09-30,5.494530,5.579870,4.462530,5.399830,5.399830,21174400
2017-10-01,5.374780,7.587400,5.374780,7.424730,7.424730,25880700
2017-10-02,7.414960,8.795970,7.323060,8.370750,8.370750,22049700
2017-10-03,8.232710,8.309440,7.075310,7.793970,7.793970,17561700
2017-10-04,7.881650,7.881650,6.056220,7.420660,7.420660,17154400
2017-10-05,7.409590,7.409590,6.361440,6.832690,6.832690,8563830
2017-10-06,6.832960,6.966820,6.396570,6.727970,6.727970,5912220
2017-10-07,6.794910,7.975270,6.575490,7.975270,7.975270,9909530
2017-10-08,7.960350,8.271100,6.819010,6.907630,6.907630,9440440
2017-10-09,6.907850,7.469370,5.899530,6.226410,6.226410,11961300
2017-10-10,6.224310,7.351820,6.160550,7.121850,7.121850,11730200
2017-10-11,7.073150,7.326360,6.646380,6.745500,6.745500,5901540
2017-10-12,6.756990,7.007240,5.755230,5.755230,5.755230,10746800
2017-10-13,5.744030,6.472420,4.736480,5.693890,5.693890,15520100
2017-10-14,5.695780,6.470510,5.455700,5.885200,5.885200,12183000
2017-10-15,5.927260,6.241650,5.723770,5.964580,5.964580,17394000
2017-10-16,5.953870,6.601450,5.887500,6.236310,6.236310,18689600
2017-10-17,6.237640,6.304620,5.963900,6.100910,6.100910,9753950
2017-10-18,6.126690,7.028370,5.825180,6.838560,6.838560,9495240
2017-10-19,6.769660,7.184590,6.488450,7.096150,7.096150,13309000
2017-10-20,7.155910,7.517520,5.976660,6.102260,6.102260,9339930
2017-10-21,6.150070,6.991300,5.985010,6.952920,6.952920,10050200
2017-10-22,6.884020,7.178970,6.632170,6.961480,6.961480,5035330
2017-10-23,6.840180,7.008080,6.395560,6.811370,6.811370,6309760
2017-10-24,6.777830,8.410430,6.659980,8.140940,8.140940,14271000
2017-10-25,8.145210,8.145210,7.107960,7.414780,7.414780,6167020
2017-10-26,7.336180,7.744350,6.738000,6.879080,6.879080,6099610
2017-10-27,6.946360,6.978630,6.639450,6.677360,6.677360,6105710
2017-10-28,6.694150,6.891570,6.426760,6.557940,6.557940,6227040
2017-10-29,6.549130,7.077570,6.456980,6.973030,6.973030,13992200
2017-10-30,6.931280,7.789540,6.738710,7.559780,7.559780,15477200
2017-10-31,7.546600,7.561860,5.744990,5.744990,5.744990,12762800
2017-11-01,5.562690,6.005270,4.924940,4.985880,4.985880,9936870
2017-11-02,4.910000,4.966390,3.972460,4.520930,4.520930,13969600
2017-11-03,4.567520,5.602910,4.376760,4.920110,4.920110,9889950
2017-11-04,4.913840,5.415390,4.890790,5.128130,5.128130,6872030
2017-11-05,5.110970,5.113660,4.708580,4.788180,4.788180,3087380
2017-11-06,4.759630,5.067610,4.729220,4.851120,4.851120,7873020
2017-11-07,4.906530,5.027190,4.793870,4.910210,4.910210,7349530
2017-11-08,4.841410,7.712620,4.774830,6.629040,6.629040,24664000
2017-11-09,6.574620,6.699580,5.826960,6.190930,6.190930,11325700
2017-11-10,6.190280,6.349890,4.931310,5.311430,5.311430,13493300
2017-11-11,5.268740,5.725850,4.987460,5.197060,5.197060,9281590
2017-11-12,5.223470,5.236040,4.297790,4.500300,4.500300,9364360
2017-11-13,4.497860,5.515620,4.497860,5.232750,5.232750,8365780
2017-11-14,5.219710,5.371540,4.918700,5.280700,5.280700,6319000
2017-11-15,5.277830,5.557280,4.953050,5.170700,5.170700,6528410
2017-11-16,5.196190,5.260510,4.711800,4.716050,4.716050,7616310
2017-11-17,4.706630,5.459750,4.470180,4.698220,4.698220,8662410
2017-11-18,4.732830,5.159070,4.560460,5.058980,5.058980,14891000
2017-11-19,5.049250,5.147770,4.766940,4.913540,4.913540,17371700
2017-11-20,4.911070,5.278850,4.605080,4.995140,4.995140,16891000
2017-11-21,4.996150,5.038910,4.596540,4.693360,4.693360,12881900
2017-11-22,4.735420,4.847990,4.467330,4.677460,4.677460,13278400
2017-11-23,4.660160,4.760920,4.274660,4.369930,4.369930,11358300
2017-11-24,4.358980,5.297310,4.286260,4.903790,4.903790,14558200
2017-11-25,4.832680,5.452270,4.817740,5.210010,5.210010,14023000
2017-11-26,5.184290,5.338990,4.945790,5.199180,5.199180,11046800
2017-11-27,5.198600,8.032310,4.735080,6.378980,6.378980,31274700
2017-11-28,6.452230,6.769840,5.322630,5.609940,5.609940,18013900
2017-11-29,5.621330,6.025010,5.022860,5.111350,5.111350,10911200
2017-11-30,5.188080,7.112380,4.900290,6.702690,6.702690,13012100
2017-12-01,6.781120,8.471250,6.395280,8.419460,8.419460,20934400
2017-12-02,8.283130,9.689190,8.006810,9.627090,9.627090,19238100
2017-12-03,9.677790,10.591200,8.617070,9.399170,9.399170,26299700
2017-12-04,9.355380,9.852650,8.773570,9.195020,9.195020,13118600
2017-12-05,9.210070,10.367000,9.066090,9.101470,9.101470,14947700
2017-12-06,9.267680,9.555100,7.855020,8.440580,8.440580,19600000
2017-12-07,8.356430,8.694620,7.225750,7.781030,7.781030,17201500
2017-12-08,7.593150,9.535480,6.932960,8.611990,8.611990,24314400
2017-12-09,8.669360,9.294650,7.916060,8.075060,8.075060,17621900
2017-12-10,8.094530,8.094530,6.836190,6.995800,6.995800,11443400
2017-12-11,6.998990,7.664780,6.829140,7.314580,7.314580,12740900
2017-12-12,7.206700,7.969940,6.990630,7.311730,7.311730,19057700
2017-12-13,7.273150,7.730550,6.987300,7.357400,7.357400,15391700
2017-12-14,7.276050,8.786490,7.183970,8.038340,8.038340,16553300
2017-12-15,8.072380,8.360330,7.526270,8.066870,8.066870,14490000
2017-12-16,8.088100,8.751110,8.088100,8.751110,8.751110,12427100
2017-12-17,8.799720,12.059400,8.663100,10.358400,10.358400,23229200
2017-12-18,10.574700,12.100400,9.381720,12.100400,12.100400,17488000
2017-12-19,12.274300,14.680600,11.312900,12.085800,12.085800,11175900
2017-12-20,12.052700,17.753700,10.625400,16.634300,16.634300,49304200
2017-12-21,17.026400,19.850300,13.726900,16.555099,16.555099,32328500
2017-12-22,16.481300,17.330799,8.799010,12.509700,12.509700,15930700
2017-12-23,13.141900,16.388300,12.436200,15.304200,15.304200,14593400
2017-12-24,15.356600,15.425000,12.840500,13.134200,13.134200,16113800
2017-12-25,13.677300,14.243100,11.728900,12.519800,12.519800,20780700
2017-12-26,12.728900,12.744600,10.354200,11.408600,11.408600,19032500
2017-12-27,11.411500,12.489700,10.862200,11.685600,11.685600,14221200
2017-12-28,11.594400,11.944400,9.715370,11.944400,11.944400,17328600
2017-12-29,12.031700,12.223400,11.123700,11.327300,11.327300,23031900
2017-12-30,11.307100,11.457400,9.998450,10.296000,10.296000,19622800
2017-12-31,10.260600,11.983800,10.134500,11.309300,11.309300,22289500
2018-01-01,11.378700,11.902600,10.622600,11.340800,11.340800,27012000
2018-01-02,11.379400,12.180800,10.377400,11.465600,11.465600,31560000
2018-01-03,11.604200,11.845600,9.934940,10.887100,10.887100,32263600
2018-01-04,10.862800,11.286200,9.640620,9.701480,9.701480,25815500
2018-01-05,9.722530,11.121500,9.604680,10.006000,10.006000,30884700
2018-01-06,9.910360,16.435600,9.910360,14.890600,14.890600,62498100
2018-01-07,16.131001,17.062000,14.532100,16.347000,16.347000,47556700
2018-01-08,16.356100,17.117001,13.054300,15.009000,15.009000,32463700
2018-01-09,15.012500,15.452500,13.977100,14.577000,14.577000,28357200
2018-01-10,14.468800,20.387100,14.027800,17.350401,17.350401,62152000
2018-01-11,17.151199,18.129499,13.483600,15.142100,15.142100,26736100
2018-01-12,15.239600,24.073099,14.661000,23.456400,23.456400,85084304
2018-01-13,23.547400,43.335098,22.597000,28.924200,28.924200,325576000
2018-01-14,28.946699,30.899099,24.599501,26.400900,26.400900,90227296
2018-01-15,25.640200,31.012100,23.016399,23.464001,23.464001,50917800
2018-01-16,23.557301,24.604700,15.131800,19.218599,19.218599,59669700
2018-01-17,19.277201,21.431000,14.115500,19.510000,19.510000,46581400
2018-01-18,19.188801,24.943899,19.082701,21.870399,21.870399,55600600
2018-01-19,21.620501,23.871000,20.541901,22.304701,22.304701,41197800
2018-01-20,22.644300,27.891001,22.285101,27.324900,27.324900,49287800
2018-01-21,26.892799,30.955601,24.892500,27.922199,27.922199,65992800
2018-01-22,28.316401,29.920900,22.485500,28.857800,28.857800,57289000
2018-01-23,28.812099,33.024399,26.432800,29.922100,29.922100,80665696
2018-01-24,30.023100,38.455898,29.376900,36.551300,36.551300,115482000
2018-01-25,36.861599,36.861599,31.987301,33.159000,33.159000,43290700
2018-01-26,33.048302,38.417000,30.724001,38.022499,38.022499,62688700
