Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.047029,0.050578,0.045120,0.048146,0.048146,257457
2020-05-08,0.047700,0.048652,0.046711,0.047459,0.047459,421244
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.050909,0.057098,0.050673,0.055089,0.055089,561436
2020-05-17,0.055148,0.063632,0.053059,0.054623,0.054623,485332
2020-05-18,0.054705,0.063794,0.054608,0.058384,0.058384,572911
2020-05-19,0.058564,0.065045,0.057237,0.063969,0.063969,623919
2020-05-20,0.064225,0.069248,0.062301,0.068510,0.068510,733277
2020-05-21,0.068545,0.074942,0.067012,0.071171,0.071171,703878
2020-05-22,0.070922,0.078732,0.070435,0.078695,0.078695,820596
2020-05-23,0.078726,0.093891,0.075717,0.089751,0.089751,977599
2020-05-24,0.089334,0.099904,0.088771,0.093740,0.093740,1008475
2020-05-25,0.094305,0.100284,0.091872,0.095891,0.095891,964370
2020-05-26,0.095759,0.107921,0.095117,0.101513,0.101513,728883
2020-05-27,0.101513,0.141296,0.099568,0.133122,0.133122,2878032
2020-05-28,0.133056,0.169087,0.130034,0.162538,0.162538,3668946
2020-05-29,0.162550,0.219876,0.160249,0.171170,0.171170,4486704
2020-05-30,0.171031,0.189562,0.138175,0.179348,0.179348,1027895
2020-05-31,0.179348,0.183460,0.140153,0.154233,0.154233,75021
2020-06-01,0.147708,0.188967,0.139763,0.188513,0.188513,12684214
2020-06-02,0.188848,0.190721,0.133115,0.140661,0.140661,6584970
2020-06-03,0.140661,0.141872,0.131949,0.141225,0.141225,4230735
2020-06-04,0.141186,0.161794,0.112402,0.129462,0.129462,1016376
2020-06-05,0.128301,0.129784,0.103356,0.118660,0.118660,721234
2020-06-06,0.118660,0.125911,0.112582,0.122327,0.122327,693829
2020-06-07,0.122327,0.137737,0.116141,0.135567,0.135567,5159965
2020-06-08,0.135719,0.140347,0.131549,0.134263,0.134263,12524213
2020-06-09,0.134442,0.144232,0.130574,0.142606,0.142606,7788854
2020-06-10,0.142643,0.164072,0.126696,0.130806,0.130806,9721998
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.126844,0.132411,0.126158,0.130511,0.130511,12927963
2020-06-15,0.131326,0.138101,0.100098,0.114014,0.114014,6514727
