Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,2.224280,2.377670,2.222000,2.360330,2.360330,3302
2014-09-18,2.355850,2.355850,1.987710,2.026860,2.026860,1709
2014-09-19,2.011700,2.121060,1.937030,1.966840,1.966840,960
2014-09-20,1.966310,2.106990,1.943200,2.007970,2.007970,5721
2014-09-21,1.987650,2.151430,1.952580,2.099660,2.099660,3508
2014-09-22,2.101130,2.152840,1.980530,2.050040,2.050040,5702
2014-09-23,2.049730,2.206740,1.995530,2.174400,2.174400,10409
2014-09-24,2.206730,2.207310,2.091820,2.103280,2.103280,1660
2014-09-25,2.100390,2.102210,1.982990,2.062880,2.062880,4976
2014-09-26,2.062220,2.078450,1.992680,2.030060,2.030060,6590
2014-09-27,2.030410,2.080740,1.929780,2.020830,2.020830,8371
2014-09-28,2.020600,2.030490,1.870490,1.904730,1.904730,1215
2014-09-29,1.903460,1.904950,1.790220,1.832230,1.832230,8216
2014-09-30,1.835230,2.021580,1.802660,1.943470,1.943470,9592
2014-10-01,1.945760,1.987860,1.887450,1.972850,1.972850,5366
2014-10-02,1.968320,2.001570,1.816520,1.914170,1.914170,6172
2014-10-03,1.900440,1.941840,1.802460,1.821480,1.821480,7516
2014-10-04,1.823410,1.840200,1.712110,1.741300,1.741300,11594
2014-10-05,1.741560,1.898100,1.635950,1.860510,1.860510,18676
2014-10-06,1.859800,3.023070,1.763450,2.920220,2.920220,35443
2014-10-07,2.953420,4.956440,2.710080,3.413460,3.413460,201300
2014-10-08,3.325990,3.539330,2.626950,2.912470,2.912470,52678
2014-10-09,2.816030,5.109190,2.246020,3.886590,3.886590,134182
2014-10-10,3.884890,4.168570,2.940640,3.013720,3.013720,26632
2014-10-11,3.012110,3.932210,2.985880,3.505580,3.505580,45887
2014-10-12,3.508670,4.066270,3.256000,3.857370,3.857370,25277
2014-10-13,3.851040,3.880510,3.376590,3.711580,3.711580,21816
2014-10-14,3.723690,4.079450,3.440870,3.824980,3.824980,30123
2014-10-15,3.825190,5.068190,3.592170,3.850490,3.850490,16259
2014-10-16,3.848120,4.158920,3.488670,3.655020,3.655020,9868
2014-10-17,3.656920,4.604410,3.586850,4.084510,4.084510,41494
2014-10-18,4.086230,4.562890,3.931720,4.253800,4.253800,17544
2014-10-19,4.251530,4.534740,4.195850,4.435370,4.435370,29536
2014-10-20,4.428100,4.532550,3.815070,4.225170,4.225170,43671
2014-10-21,4.220500,4.382270,3.913460,4.187430,4.187430,29725
2014-10-22,4.183570,4.241970,3.896040,4.098250,4.098250,24665
2014-10-23,4.096230,4.118390,3.493990,3.501440,3.501440,17271
2014-10-24,3.490490,3.824460,3.404920,3.702430,3.702430,8442
2014-10-25,3.696810,3.737320,3.521800,3.528590,3.528590,3310
2014-10-26,3.530780,3.668780,3.438800,3.523360,3.523360,3048
2014-10-27,3.524050,3.657730,3.444130,3.582580,3.582580,8322
2014-10-28,3.581790,3.608350,2.833230,3.115630,3.115630,36081
2014-10-29,3.109870,3.129760,2.861210,2.882240,2.882240,22421
2014-10-30,2.881970,3.185500,2.854430,3.065010,3.065010,7039
2014-10-31,3.064420,3.367930,3.037850,3.194610,3.194610,11901
2014-11-01,3.197690,3.685360,3.120760,3.484180,3.484180,16641
2014-11-02,3.487910,3.874880,3.436990,3.664790,3.664790,22820
2014-11-03,3.661160,4.627380,3.600000,4.184790,4.184790,42269
2014-11-04,4.179870,4.685380,3.671550,4.419350,4.419350,48635
