Date,Open,High,Low,Close,Adj Close,Volume
2015-04-01,0.000400,0.000458,0.000170,0.000242,0.000242,65524
2015-04-02,0.000242,0.000323,0.000227,0.000314,0.000314,28549
2015-04-03,0.000309,0.000330,0.000291,0.000310,0.000310,20677
2015-04-04,0.000310,0.000318,0.000251,0.000277,0.000277,23550
2015-04-05,0.000272,0.000283,0.000218,0.000232,0.000232,26800
2015-04-06,0.000232,0.000299,0.000229,0.000289,0.000289,22511
2015-04-07,0.000288,0.000288,0.000234,0.000241,0.000241,14437
2015-04-08,0.000245,0.000259,0.000223,0.000228,0.000228,6932
2015-04-09,0.000228,0.000239,0.000213,0.000224,0.000224,10013
2015-04-10,0.000224,0.000227,0.000167,0.000175,0.000175,16846
2015-04-11,0.000175,0.000192,0.000143,0.000163,0.000163,22845
2015-04-12,0.000163,0.000173,0.000144,0.000146,0.000146,5568
2015-04-13,0.000146,0.000155,0.000123,0.000139,0.000139,11803
2015-04-14,0.000139,0.000178,0.000137,0.000153,0.000153,14653
2015-04-15,0.000156,0.000172,0.000146,0.000155,0.000155,8196
2015-04-16,0.000155,0.000174,0.000155,0.000163,0.000163,5316
2015-04-17,0.000168,0.000172,0.000160,0.000167,0.000167,4556
2015-04-18,0.000167,0.000170,0.000141,0.000141,0.000141,9116
2015-04-19,0.000141,0.000160,0.000137,0.000147,0.000147,7192
2015-04-20,0.000147,0.000150,0.000128,0.000133,0.000133,6680
2015-04-21,0.000133,0.000148,0.000129,0.000137,0.000137,3911
2015-04-22,0.000137,0.000149,0.000129,0.000138,0.000138,2352
2015-04-23,0.000138,0.000147,0.000133,0.000137,0.000137,2116
2015-04-24,0.000137,0.000150,0.000132,0.000150,0.000150,3058
2015-04-25,0.000149,0.000150,0.000137,0.000140,0.000140,2480
2015-04-26,0.000140,0.000141,0.000127,0.000134,0.000134,2073
2015-04-27,0.000134,0.000168,0.000134,0.000163,0.000163,6659
2015-04-28,0.000160,0.000163,0.000146,0.000149,0.000149,3357
2015-04-29,0.000149,0.000152,0.000142,0.000147,0.000147,2013
2015-04-30,0.000147,0.000160,0.000147,0.000157,0.000157,958
2015-05-01,0.000157,0.000158,0.000153,0.000156,0.000156,692
2015-05-02,0.000153,0.000158,0.000146,0.000155,0.000155,1542
2015-05-03,0.000155,0.000158,0.000142,0.000149,0.000149,4417
2015-05-04,0.000149,0.000157,0.000142,0.000151,0.000151,2595
2015-05-05,0.000151,0.000153,0.000137,0.000141,0.000141,3974
2015-05-06,0.000141,0.000146,0.000139,0.000143,0.000143,1124
2015-05-07,0.000142,0.000160,0.000142,0.000156,0.000156,2475
2015-05-08,0.000156,0.000160,0.000147,0.000155,0.000155,1043
2015-05-09,0.000155,0.000155,0.000150,0.000150,0.000150,623
2015-05-10,0.000150,0.000159,0.000146,0.000151,0.000151,1774
2015-05-11,0.000151,0.000155,0.000140,0.000155,0.000155,3366
2015-05-12,0.000155,0.000166,0.000147,0.000165,0.000165,4764
2015-05-13,0.000165,0.000174,0.000158,0.000159,0.000159,4187
2015-05-14,0.000159,0.000169,0.000155,0.000160,0.000160,1647
2015-05-15,0.000160,0.000165,0.000154,0.000164,0.000164,1260
2015-05-16,0.000164,0.000178,0.000155,0.000156,0.000156,4958
2015-05-17,0.000155,0.000162,0.000155,0.000160,0.000160,1048
2015-05-18,0.000160,0.000178,0.000159,0.000169,0.000169,12652
2015-05-19,0.000166,0.000181,0.000164,0.000171,0.000171,9162
2015-05-20,0.000171,0.000179,0.000167,0.000172,0.000172,8927
2015-05-21,0.000172,0.000185,0.000170,0.000172,0.000172,7585
2015-05-22,0.000172,0.000183,0.000168,0.000177,0.000177,4135
2015-05-23,0.000177,0.000187,0.000175,0.000177,0.000177,4559
2015-05-24,0.000177,0.000183,0.000173,0.000182,0.000182,5675
2015-05-25,0.000182,0.000188,0.000178,0.000178,0.000178,6871
2015-05-26,0.000178,0.000191,0.000178,0.000183,0.000183,3845
2015-05-27,0.000183,0.000210,0.000183,0.000197,0.000197,8659
2015-05-28,0.000195,0.000201,0.000188,0.000196,0.000196,7217
2015-05-29,0.000196,0.000198,0.000183,0.000183,0.000183,7998
