Date,Open,High,Low,Close,Adj Close,Volume
2020-08-28,0.500244,0.501863,0.470089,0.499933,0.499933,49579
2020-08-29,0.499650,0.501368,0.479850,0.500366,0.500366,53095
2020-08-30,0.500723,0.501564,0.479973,0.500302,0.500302,52224
2020-08-31,0.500302,0.508660,0.299861,0.503039,0.503039,63491
2020-09-01,0.502950,0.514275,0.470805,0.489602,0.489602,64867
2020-09-02,0.484461,0.509937,0.417377,0.481759,0.481759,102474
2020-09-03,0.480620,0.500246,0.469248,0.475164,0.475164,62860
2020-09-04,0.474487,0.495095,0.366073,0.415239,0.415239,98814
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,0.249827,0.298707,0.243534,0.256101,0.256101,77202
2020-09-23,0.256110,0.304723,0.245684,0.251034,0.251034,73541
2020-09-24,0.248152,0.310708,0.245382,0.305440,0.305440,86589
2020-09-25,0.305609,0.327715,0.286669,0.312240,0.312240,89372
2020-09-26,0.311693,0.365431,0.286335,0.339039,0.339039,99208
2020-09-27,0.339039,0.366637,0.310118,0.330898,0.330898,97251
2020-09-28,0.330898,0.368497,0.311815,0.351269,0.351269,112124
2020-09-29,0.335389,0.371958,0.310217,0.341922,0.341922,118516
2020-09-30,0.341763,0.704329,0.310922,0.510120,0.510120,110345
2020-10-01,0.510120,0.524711,0.454095,0.465003,0.465003,110047
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,0.516861,0.521189,0.514377,0.521189,0.521189,104495
2020-10-06,0.520554,0.521656,0.512460,0.514450,0.514450,103989
2020-10-07,0.514932,0.516620,0.512148,0.514212,0.514212,102312
2020-10-08,0.514949,0.525452,0.510807,0.521604,0.521604,103397
2020-10-09,0.524202,0.531521,0.519953,0.528207,0.528207,111306
2020-10-10,0.527504,0.570026,0.525525,0.537556,0.537556,122258
2020-10-11,0.536846,0.540316,0.532219,0.536672,0.536672,116083
2020-10-12,0.534603,0.542481,0.490617,0.536532,0.536532,110612
2020-10-13,0.535641,0.538834,0.529453,0.533143,0.533143,106317
2020-10-14,0.534317,0.538470,0.526389,0.534822,0.534822,108112
2020-10-15,0.535130,0.574928,0.528331,0.535642,0.535642,113485
2020-10-16,0.536144,0.576080,0.528073,0.532109,0.532109,108546
