Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.301676,0.361595,0.262279,0.360393,0.360393,751
2020-05-08,0.360425,0.433567,0.355142,0.399078,0.399078,3428
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.478715,0.479997,0.200981,0.202728,0.202728,221
2020-05-17,0.202757,0.445478,0.156754,0.416487,0.416487,498
2020-05-18,0.416483,0.434796,0.300958,0.433793,0.433793,1352
2020-05-19,0.433903,0.442690,0.398000,0.402293,0.402293,713
2020-05-20,0.401973,0.429067,0.372449,0.381174,0.381174,1428
2020-05-21,0.381078,0.410619,0.372129,0.375603,0.375603,870
2020-05-22,0.375709,0.409924,0.247462,0.405214,0.405214,386
2020-05-23,0.405264,0.442836,0.374416,0.442589,0.442589,1097
2020-05-24,0.442520,0.442589,0.166011,0.298431,0.298431,1061
2020-05-25,0.298512,0.328859,0.156192,0.156224,0.156224,944
2020-05-26,0.156203,0.350311,0.155481,0.320310,0.320310,843
2020-05-27,0.320310,0.320504,0.156388,0.279992,0.279992,2196
2020-05-28,0.280038,0.433450,0.279679,0.429233,0.429233,6419
2020-05-29,0.429246,0.432681,0.309216,0.309216,0.309216,2358
2020-05-30,0.306096,0.322402,0.180898,0.322201,0.322201,1244
2020-05-31,0.322201,0.435654,0.309878,0.407146,0.407146,855
2020-06-01,0.407366,0.427910,0.349904,0.356571,0.356571,1275
2020-06-02,0.356275,0.358329,0.202240,0.341066,0.341066,696
2020-06-03,0.341066,0.436229,0.340811,0.406664,0.406664,918
2020-06-04,0.406597,0.418123,0.360661,0.413664,0.413664,910
2020-06-05,0.413664,0.414098,0.123083,0.274456,0.274456,1024
2020-06-06,0.274456,0.371400,0.156736,0.156773,0.156773,295
2020-06-07,0.156773,0.430774,0.156757,0.399777,0.399777,2862
2020-06-08,0.399787,0.403636,0.292599,0.393821,0.393821,502
2020-06-09,0.394522,0.419349,0.329117,0.329381,0.329381,529
2020-06-10,0.329403,0.359292,0.166034,0.188297,0.188297,1033
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.255792,0.292195,0.164318,0.235785,0.235785,748
2020-06-15,0.235785,0.372573,0.231348,0.231348,0.231348,617
2020-06-16,0.231310,0.373534,0.159216,0.373063,0.373063,4640
2020-06-17,0.372975,0.394446,0.350727,0.379347,0.379347,4314
2020-06-18,0.379347,0.387836,0.302315,0.309616,0.309616,3993
2020-06-19,0.309559,0.353700,0.269635,0.326689,0.326689,1646
2020-06-20,null,null,null,null,null,null
2020-06-21,0.267360,0.352522,0.236698,0.336789,0.336789,1231
2020-06-22,null,null,null,null,null,null
2020-06-23,0.304052,0.386739,0.302070,0.385164,0.385164,1339
2020-06-24,0.385168,0.460525,0.359314,0.391488,0.391488,16295
2020-06-25,0.391190,0.536674,0.368560,0.419028,0.419028,172168
2020-06-26,0.418956,0.518894,0.408085,0.410555,0.410555,8566
2020-06-27,null,null,null,null,null,null
2020-06-28,0.400227,0.412065,0.357245,0.357672,0.357672,3846
2020-06-29,0.357672,0.360210,0.149417,0.149669,0.149669,1088
2020-06-30,0.149629,0.366837,0.104204,0.308108,0.308108,1728
2020-07-01,0.308108,0.349891,0.205883,0.205902,0.205902,804
2020-07-02,0.198199,0.300974,0.198069,0.253708,0.253708,3122
2020-07-03,0.254135,0.256157,0.143120,0.209422,0.209422,1329
2020-07-04,0.209308,0.368013,0.206765,0.367018,0.367018,1265
2020-07-05,0.367035,0.398198,0.349634,0.357367,0.357367,770
2020-07-06,0.357367,0.388680,0.186318,0.373553,0.373553,3638
2020-07-07,0.373463,0.386005,0.340245,0.364644,0.364644,800
2020-07-08,0.364639,0.379276,0.336087,0.374328,0.374328,3221
2020-07-09,0.374458,0.388992,0.291411,0.300252,0.300252,1380
2020-07-10,0.300042,0.358362,0.250200,0.295551,0.295551,289
2020-07-11,0.291147,0.371328,0.233137,0.368738,0.368738,1035
2020-07-12,0.370032,0.395338,0.369339,0.388053,0.388053,1366
2020-07-13,0.388053,0.422006,0.373859,0.375167,0.375167,1762
2020-07-14,0.375413,0.407357,0.141271,0.152068,0.152068,960
2020-07-15,0.152048,0.255279,0.150226,0.249865,0.249865,1162
2020-07-16,0.249937,0.333104,0.180768,0.332519,0.332519,713
2020-07-17,0.332603,0.380101,0.292800,0.293115,0.293115,167
2020-07-18,0.293114,0.336487,0.087710,0.334501,0.334501,1137
2020-07-19,0.334428,0.366676,0.112513,0.113135,0.113135,261
2020-07-20,0.113234,0.411753,0.113202,0.410678,0.410678,2972
2020-07-21,0.410699,0.416784,0.257375,0.411434,0.411434,1173
2020-07-22,0.411469,0.411565,0.368151,0.380885,0.380885,1893
2020-07-23,0.379175,0.401049,0.368597,0.379561,0.379561,1069
2020-07-24,0.379561,0.387620,0.309867,0.329293,0.329293,1059
2020-07-25,0.329494,0.387149,0.316345,0.387052,0.387052,981
2020-07-26,0.386643,0.393511,0.338759,0.357229,0.357229,497
2020-07-27,0.357172,0.368713,0.303973,0.361728,0.361728,766
2020-07-28,0.361589,0.400459,0.338850,0.352966,0.352966,640
2020-07-29,0.352946,0.394924,0.341008,0.388145,0.388145,576
2020-07-30,0.387942,0.391815,0.361721,0.372532,0.372532,831
2020-07-31,0.372534,0.395375,0.355077,0.368679,0.368679,565
2020-08-01,0.368679,0.402611,0.367251,0.376940,0.376940,984
2020-08-02,0.377629,0.423786,0.377031,0.398899,0.398899,1189
2020-08-03,0.398507,0.404937,0.285753,0.333845,0.333845,1250
2020-08-04,0.333848,0.389751,0.278606,0.283336,0.283336,1563
2020-08-05,0.283268,0.404656,0.279252,0.404489,0.404489,3365
2020-08-06,0.404469,0.413329,0.259691,0.260068,0.260068,607
2020-08-07,0.260009,0.407886,0.231988,0.406911,0.406911,2008
2020-08-08,0.406924,0.410161,0.203012,0.345250,0.345250,3252
2020-08-09,0.345139,0.400094,0.345139,0.382789,0.382789,1947
2020-08-10,0.382645,0.390610,0.337582,0.376525,0.376525,1532
2020-08-11,0.376341,0.408222,0.373693,0.407630,0.407630,2062
2020-08-12,0.407392,0.410052,0.206966,0.220831,0.220831,897
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,0.400793,0.413428,0.308730,0.368554,0.368554,2268
2020-08-17,0.368554,0.402588,0.357602,0.385337,0.385337,1789
2020-08-18,0.385147,0.419324,0.373634,0.395379,0.395379,3318
2020-08-19,0.395379,0.411618,0.270068,0.381378,0.381378,851
2020-08-20,0.381359,0.422123,0.357358,0.400698,0.400698,6514
2020-08-21,0.400669,0.432225,0.392351,0.402529,0.402529,2215
2020-08-22,0.402147,0.404160,0.345969,0.379212,0.379212,603
2020-08-23,0.379284,0.432512,0.336793,0.407273,0.407273,3602
2020-08-24,0.407279,0.410159,0.229227,0.334033,0.334033,328
2020-08-25,0.334181,0.403628,0.329699,0.399607,0.399607,1071
2020-08-26,0.399924,0.407744,0.183062,0.183321,0.183321,212
2020-08-27,0.183368,0.366428,0.182462,0.362989,0.362989,347
2020-08-28,0.362978,0.368592,0.065199,0.101398,0.101398,360
2020-08-29,0.101404,0.195528,0.075623,0.193328,0.193328,1025
2020-08-30,0.193446,0.397960,0.192025,0.394701,0.394701,3069
2020-08-31,0.394610,0.403382,0.370279,0.377261,0.377261,2298
