Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.001201,0.001477,0.001187,0.001389,0.001389,7728
2020-05-08,0.001389,0.001400,0.001270,0.001277,0.001277,5592
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.001304,0.001424,0.001295,0.001406,0.001406,1159
2020-05-17,0.001406,0.001466,0.001257,0.001257,0.001257,2074
2020-05-18,0.001257,0.001487,0.001247,0.001363,0.001363,4510
2020-05-19,0.001362,0.001468,0.001239,0.001360,0.001360,1575
2020-05-20,0.001361,0.001466,0.001226,0.001238,0.001238,2728
2020-05-21,0.001238,0.001423,0.001183,0.001272,0.001272,7692
2020-05-22,0.001272,0.001383,0.001261,0.001286,0.001286,3000
2020-05-23,0.001286,0.001392,0.001276,0.001289,0.001289,687
2020-05-24,0.001289,0.001394,0.001229,0.001230,0.001230,1441
2020-05-25,0.001227,0.001340,0.001220,0.001247,0.001247,2400
2020-05-26,0.001247,0.001348,0.001225,0.001236,0.001236,864
2020-05-27,0.001236,0.001377,0.001236,0.001286,0.001286,4056
2020-05-28,0.001286,0.001429,0.001281,0.001334,0.001334,828
2020-05-29,0.001334,0.001433,0.001313,0.001321,0.001321,1522
2020-05-30,0.001321,0.001456,0.001228,0.001261,0.001261,1526
2020-05-31,0.001261,0.001455,0.001226,0.001231,0.001231,4150
2020-06-01,0.001231,0.001372,0.001228,0.001322,0.001322,1426
2020-06-02,0.001322,0.001422,0.001228,0.001333,0.001333,1598
2020-06-03,0.001333,0.001348,0.001236,0.001255,0.001255,1998
2020-06-04,0.001255,0.001375,0.001236,0.001274,0.001274,2521
2020-06-05,0.001274,0.001377,0.001256,0.001256,0.001256,674
2020-06-06,0.001256,0.001356,0.001247,0.001350,0.001350,1565
2020-06-07,0.001350,0.001368,0.001230,0.001269,0.001269,1923
2020-06-08,0.001269,0.001359,0.001258,0.001270,0.001270,736
2020-06-09,0.001270,0.001372,0.001166,0.001273,0.001273,5146
2020-06-10,0.001273,0.001380,0.001267,0.001283,0.001283,1376
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.001231,0.001232,0.001123,0.001125,0.001125,3084
2020-06-15,0.001125,0.001235,0.001075,0.001132,0.001132,1336
2020-06-16,0.001132,0.001240,0.001128,0.001143,0.001143,6403
2020-06-17,0.001143,0.001239,0.001123,0.001231,0.001231,2037
2020-06-18,0.001231,0.001232,0.001118,0.001223,0.001223,1278
2020-06-19,0.001225,0.001225,0.001111,0.001114,0.001114,654
2020-06-20,null,null,null,null,null,null
2020-06-21,0.001212,0.001405,0.001116,0.001209,0.001209,29787
2020-06-22,null,null,null,null,null,null
2020-06-23,0.001158,0.001257,0.001143,0.001156,0.001156,2183
2020-06-24,0.001156,0.001228,0.001112,0.001116,0.001116,960
2020-06-25,0.001117,0.001214,0.001088,0.001110,0.001110,1204
2020-06-26,0.001110,0.001209,0.001091,0.001098,0.001098,945
2020-06-27,null,null,null,null,null,null
2020-06-28,0.001173,0.001196,0.001077,0.001094,0.001094,915
2020-06-29,0.001094,0.001202,0.001083,0.001099,0.001099,403
2020-06-30,0.001099,0.001201,0.001089,0.001095,0.001095,872
2020-07-01,0.001095,0.001211,0.001091,0.001106,0.001106,805
2020-07-02,0.001107,0.001205,0.001087,0.001093,0.001093,934
2020-07-03,0.001092,0.001282,0.001087,0.001179,0.001179,1865
2020-07-04,0.001179,0.001292,0.001085,0.001185,0.001185,1824
2020-07-05,0.001181,0.001200,0.001077,0.001087,0.001087,3824
2020-07-06,0.001087,0.001221,0.001086,0.001210,0.001210,2773
2020-07-07,0.001210,0.001222,0.001107,0.001110,0.001110,1958
2020-07-08,0.001111,0.001231,0.001109,0.001132,0.001132,4924
2020-07-09,0.001132,0.001228,0.001108,0.001112,0.001112,2373
2020-07-10,0.001112,0.001208,0.001098,0.001207,0.001207,4620
2020-07-11,0.001206,0.001211,0.001104,0.001201,0.001201,1022
2020-07-12,0.001201,0.001209,0.001103,0.001113,0.001113,1034
2020-07-13,0.001113,0.001213,0.001105,0.001114,0.001114,525
2020-07-14,0.001108,0.001210,0.001099,0.001108,0.001108,1221
2020-07-15,0.001108,0.001201,0.001100,0.001103,0.001103,480
2020-07-16,0.001102,0.001196,0.001089,0.001187,0.001187,1953
2020-07-17,0.001186,0.001199,0.001090,0.001189,0.001189,2201
2020-07-18,0.001189,0.001200,0.001093,0.001190,0.001190,1892
2020-07-19,0.001190,0.001200,0.001090,0.001102,0.001102,503
2020-07-20,0.001104,0.001203,0.001096,0.001098,0.001098,532
2020-07-21,0.001098,0.001220,0.001097,0.001124,0.001124,2347
2020-07-22,0.001124,0.001240,0.001118,0.001239,0.001239,1187
