Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.231915,0.264261,0.212523,0.250211,0.250211,156063
2020-05-08,0.250211,0.265679,0.240538,0.257283,0.257283,146178
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.281721,0.303718,0.280658,0.294997,0.294997,163623
2020-05-17,0.295079,0.309258,0.294415,0.304371,0.304371,171376
2020-05-18,0.304357,0.314830,0.300770,0.312265,0.312265,29139
2020-05-19,0.312172,0.318204,0.299116,0.316301,0.316301,79609
2020-05-20,0.316357,0.323433,0.314200,0.314714,0.314714,27222
2020-05-21,0.314698,0.315637,0.297570,0.304051,0.304051,21265
2020-05-22,0.304043,0.304893,0.298063,0.302587,0.302587,37860
2020-05-23,0.302613,0.307394,0.302432,0.305922,0.305922,33422
2020-05-24,0.305927,0.308401,0.296959,0.297051,0.297051,35071
2020-05-25,0.296475,0.302730,0.295651,0.300688,0.300688,33454
2020-05-26,0.300670,0.317125,0.298255,0.316917,0.316917,87352
2020-05-27,0.316917,0.320738,0.313793,0.318443,0.318443,73858
2020-05-28,0.318396,0.320976,0.310842,0.319959,0.319959,71878
2020-05-29,0.319919,0.322021,0.313739,0.321878,0.321878,57287
2020-05-30,0.321843,0.330895,0.318847,0.325790,0.325790,194441
2020-05-31,0.325783,0.325818,0.317533,0.318605,0.318605,190955
2020-06-01,0.318585,0.339412,0.317437,0.336378,0.336378,214106
2020-06-02,0.336295,0.338848,0.315712,0.318682,0.318682,179381
2020-06-03,0.318682,0.322839,0.316373,0.322833,0.322833,170458
2020-06-04,0.322419,0.330138,0.317984,0.327966,0.327966,175569
2020-06-05,0.327966,0.329337,0.323536,0.324065,0.324065,167380
2020-06-06,0.324049,0.326203,0.321680,0.323409,0.323409,172176
2020-06-07,0.323409,0.327644,0.317899,0.327228,0.327228,171454
2020-06-08,0.327262,0.327715,0.324548,0.327569,0.327569,176982
2020-06-09,0.327603,0.329677,0.323913,0.328329,0.328329,167165
2020-06-10,0.328345,0.331914,0.326469,0.330451,0.330451,168767
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.318023,0.318307,0.314908,0.315997,0.315997,170175
2020-06-15,0.315997,0.319307,0.303878,0.317122,0.317122,164916
2020-06-16,0.317143,0.326419,0.315991,0.323516,0.323516,88143
2020-06-17,0.323533,0.324370,0.315565,0.320770,0.320770,73204
2020-06-18,0.320763,0.322504,0.317365,0.320003,0.320003,91700
2020-06-19,0.320320,0.320320,0.314720,0.316278,0.316278,89442
2020-06-20,null,null,null,null,null,null
