Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,5.014545,7.824856,4.937092,7.592094,7.592094,162708
2020-05-08,7.592094,7.860437,7.347455,7.585306,7.585306,146595
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,8.009212,8.214484,4.501384,5.620999,5.620999,125516
2020-05-17,5.622613,8.089312,5.609355,7.927256,7.927256,152706
2020-05-18,7.926902,8.135811,4.414774,7.091178,7.091178,128554
2020-05-19,7.086706,7.134690,4.477107,6.726715,6.726715,140737
2020-05-20,6.729331,7.110584,4.627408,6.952492,6.952492,138241
2020-05-21,6.952420,6.978450,4.172587,6.344460,6.344460,105051
2020-05-22,6.343662,6.723669,3.991760,6.713620,6.713620,120547
2020-05-23,6.714150,6.749192,5.377973,5.381689,5.381689,99429
2020-05-24,5.382088,6.629848,5.150648,6.223612,6.223612,109567
2020-05-25,6.203370,6.372668,6.170204,6.277883,6.277883,104525
2020-05-26,6.277035,6.322586,4.565614,6.128841,6.128841,112698
2020-05-27,6.128841,6.439671,4.537378,5.479443,5.479443,105635
2020-05-28,5.479106,6.926589,5.478013,6.667249,6.667249,144928
2020-05-29,6.666933,6.707093,5.126582,5.152005,5.152005,103888
2020-05-30,5.151605,6.603677,5.104342,5.271540,5.271540,113391
2020-05-31,5.271459,6.273257,5.111865,5.324385,5.324385,115641
2020-06-01,5.323128,6.413493,4.474583,5.528579,5.528579,125002
2020-06-02,5.529593,5.554954,5.006011,5.233938,5.233938,108362
2020-06-03,5.233938,6.289555,4.677121,6.288286,6.288286,117624
2020-06-04,6.289330,6.318825,4.797107,4.816226,4.816226,121176
2020-06-05,4.816226,6.060395,4.808591,5.041300,5.041300,123272
2020-06-06,5.041300,6.141684,4.431311,4.760904,4.760904,103625
2020-06-07,4.760904,4.985009,4.693836,4.889630,4.889630,111358
2020-06-08,4.890161,5.065494,4.705816,4.814580,4.814580,105965
2020-06-09,4.814593,5.012991,4.714635,5.006907,5.006907,109121
2020-06-10,5.007155,6.797938,4.763588,4.910750,4.910750,124719
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,4.043448,5.644327,3.994421,4.017298,4.017298,136128
2020-06-15,4.016493,6.746634,3.874528,4.279010,4.279010,116541
2020-06-16,4.279337,4.342412,2.786680,2.802119,2.802119,116226
2020-06-17,2.802378,6.842755,2.778228,4.114852,4.114852,116504
2020-06-18,4.114726,6.880842,2.761598,4.552278,4.552278,121058
2020-06-19,4.557548,6.719240,4.273181,4.284141,4.284141,107487
2020-06-20,null,null,null,null,null,null
2020-06-21,2.584064,6.048481,2.584064,3.940604,3.940604,108523
2020-06-22,null,null,null,null,null,null
2020-06-23,3.786929,5.987114,3.656573,5.971076,5.971076,111002
2020-06-24,5.973681,5.973781,3.393257,3.409739,3.409739,119193
2020-06-25,3.409712,4.286167,2.502052,3.607429,3.607429,123698
2020-06-26,3.606717,3.779747,3.354605,3.531978,3.531978,118669
2020-06-27,null,null,null,null,null,null
2020-06-28,3.755752,4.309555,3.737041,3.791549,3.791549,103093
2020-06-29,3.791637,3.891700,2.533026,2.533026,2.533026,116065
2020-06-30,2.532865,3.903219,2.518477,3.373212,3.373212,106823
2020-07-01,3.392471,3.671441,3.356369,3.549633,3.549633,115279
2020-07-02,3.551006,4.307903,3.468055,3.481061,3.481061,104392
2020-07-03,3.480280,4.443832,3.428182,3.788223,3.788223,104378
2020-07-04,3.788439,5.694489,3.626815,5.624625,5.624625,108018
2020-07-05,5.624665,5.681107,4.196763,5.111027,5.111027,114403
2020-07-06,5.111027,5.203017,3.674063,4.114223,4.114223,16420
2020-07-07,4.113507,4.243189,3.567487,4.083492,4.083492,17545
2020-07-08,4.084429,4.996004,4.007904,4.428262,4.428262,36926
2020-07-09,4.428526,5.455706,4.352260,4.708770,4.708770,28337
2020-07-10,4.709260,5.160400,4.653672,4.838778,4.838778,14834
2020-07-11,4.839121,5.514561,4.821993,5.379452,5.379452,13833
2020-07-12,5.379347,5.496575,3.774402,3.778659,3.778659,11291
2020-07-13,3.778659,4.678171,3.747520,4.412708,4.412708,13539
2020-07-14,4.412708,5.205837,4.377193,4.928662,4.928662,15314
