Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.049245,0.056670,0.048650,0.056234,0.056234,251968
2020-05-08,0.054518,0.057078,0.051588,0.052431,0.052431,206145
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.047748,0.051179,0.047365,0.048632,0.048632,83300
2020-05-17,0.048646,0.050294,0.047509,0.048942,0.048942,30078
2020-05-18,0.049036,0.050676,0.044410,0.047593,0.047593,301490
2020-05-19,0.047563,0.048448,0.046333,0.047043,0.047043,88410
2020-05-20,0.046867,0.048333,0.043915,0.045124,0.045124,219559
2020-05-21,0.045126,0.045323,0.041272,0.042232,0.042232,298606
2020-05-22,0.042227,0.046764,0.041561,0.046657,0.046657,124179
2020-05-23,0.046661,0.057466,0.045354,0.048351,0.048351,115116
2020-05-24,0.048355,0.052386,0.047173,0.049822,0.049822,260230
2020-05-25,0.049678,0.054282,0.048659,0.049964,0.049964,230674
2020-05-26,0.049957,0.054899,0.043960,0.046434,0.046434,136204
2020-05-27,0.046434,0.054944,0.046393,0.053256,0.053256,14843
2020-05-28,0.053252,0.055130,0.048362,0.050487,0.050487,8593
2020-05-29,0.050488,0.054732,0.049261,0.052750,0.052750,3410
2020-05-30,0.052746,0.055940,0.050656,0.053143,0.053143,48573
2020-05-31,0.053143,0.054652,0.050058,0.050296,0.050296,116613
2020-06-01,0.050285,0.055559,0.050285,0.054896,0.054896,101900
2020-06-02,0.054902,0.055117,0.050250,0.050470,0.050470,120449
2020-06-03,0.050470,0.054323,0.050470,0.052816,0.052816,227174
2020-06-04,0.052825,0.055069,0.052002,0.054002,0.054002,243143
2020-06-05,0.054002,0.054535,0.049444,0.049761,0.049761,142145
2020-06-06,0.049761,0.055981,0.049207,0.052085,0.052085,80600
2020-06-07,0.052085,0.055939,0.050245,0.052602,0.052602,110011
2020-06-08,0.052607,0.055471,0.050082,0.050706,0.050706,2432
2020-06-09,0.050706,0.053399,0.050231,0.050823,0.050823,1788
2020-06-10,0.050824,0.067273,0.050654,0.056825,0.056825,207911
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.055010,0.057683,0.053243,0.054941,0.054941,208478
2020-06-15,0.054941,0.059727,0.048881,0.056508,0.056508,296655
2020-06-16,0.056519,0.059827,0.053977,0.057333,0.057333,226067
2020-06-17,0.057338,0.059093,0.055183,0.058529,0.058529,236240
2020-06-18,0.058529,0.059663,0.056747,0.057303,0.057303,122497
2020-06-19,0.057371,0.063383,0.053153,0.057267,0.057267,32765
2020-06-20,null,null,null,null,null,null
2020-06-21,0.056106,0.057451,0.056020,0.056341,0.056341,2864
2020-06-22,null,null,null,null,null,null
2020-06-23,0.056167,0.060808,0.055317,0.059999,0.059999,46145
2020-06-24,0.061663,0.063820,0.059637,0.061381,0.061381,136020
2020-06-25,0.061142,0.063458,0.059470,0.062722,0.062722,155316
2020-06-26,0.062710,0.069341,0.060443,0.068081,0.068081,329387
2020-06-27,null,null,null,null,null,null
2020-06-28,0.073899,0.146194,0.070351,0.118559,0.118559,728893
2020-06-29,0.118559,0.137362,0.103082,0.126496,0.126496,724564
2020-06-30,0.126213,0.156524,0.093806,0.154355,0.154355,1067881
2020-07-01,0.154355,0.241749,0.143868,0.167996,0.167996,886297
2020-07-02,0.168245,0.182476,0.165441,0.175097,0.175097,1113031
2020-07-03,0.175057,0.207604,0.167851,0.196396,0.196396,1239788
2020-07-04,0.196407,0.217848,0.192936,0.214012,0.214012,961319
2020-07-05,0.214013,0.218976,0.168666,0.201658,0.201658,1148741
2020-07-06,0.201658,0.224483,0.191657,0.216011,0.216011,1366364
2020-07-07,0.215973,0.227974,0.203406,0.215700,0.215700,1092196
2020-07-08,0.214917,0.226755,0.206741,0.218244,0.218244,1397929
2020-07-09,0.218257,0.251041,0.208096,0.242821,0.242821,1035460
2020-07-10,0.250166,0.302303,0.226179,0.289963,0.289963,1621711
2020-07-11,0.289983,0.299778,0.259775,0.269755,0.269755,1118656
2020-07-12,0.269750,0.273123,0.245551,0.260153,0.260153,1310361
2020-07-13,0.260153,0.272887,0.227628,0.257269,0.257269,1132345
2020-07-14,0.255784,0.267815,0.224264,0.242750,0.242750,1327327
2020-07-15,0.242749,0.244812,0.160897,0.175397,0.175397,1219588
2020-07-16,0.175367,0.215218,0.162698,0.210581,0.210581,907236
2020-07-17,0.210557,0.257962,0.207951,0.249731,0.249731,1853540
2020-07-18,0.249449,0.256441,0.219276,0.232001,0.232001,1429357
2020-07-19,0.231994,0.244000,0.228653,0.234618,0.234618,1059294
2020-07-20,0.234979,0.243006,0.210346,0.218093,0.218093,1077763
2020-07-21,0.218088,0.240006,0.213621,0.223027,0.223027,1069757
2020-07-22,0.223032,0.248947,0.214628,0.247813,0.247813,1680460
2020-07-23,0.247813,0.251154,0.225459,0.237125,0.237125,1484143
