Date,Open,High,Low,Close,Adj Close,Volume
2016-10-06,0.367782,0.901188,0.352676,0.901141,0.901141,1290
2016-10-07,0.912786,1.346570,0.554831,1.110810,1.110810,3562
2016-10-08,1.111210,2.164780,0.824669,1.609680,1.609680,22866
2016-10-09,1.609850,2.099430,1.371800,1.700910,1.700910,8975
2016-10-10,1.701100,1.885330,0.903892,1.171870,1.171870,11242
2016-10-11,1.172330,1.974270,1.172010,1.789600,1.789600,14747
2016-10-12,1.789040,2.546020,1.628310,2.394880,2.394880,44564
2016-10-13,2.394230,5.521510,2.291390,4.490280,4.490280,80976
2016-10-14,4.299940,5.411550,2.886120,3.595040,3.595040,47072
2016-10-15,3.595170,4.179380,3.302440,3.947630,3.947630,25941
2016-10-16,3.950330,3.950330,3.519100,3.524440,3.524440,24447
2016-10-17,3.525460,3.841730,3.217710,3.487980,3.487980,45957
2016-10-18,3.489170,5.586600,3.366110,5.117300,5.117300,55214
2016-10-19,4.585350,6.948010,4.581140,5.790560,5.790560,115415
2016-10-20,5.792200,8.001480,2.533600,3.023780,3.023780,1697
2016-10-21,3.023620,4.872630,3.023620,3.792830,3.792830,101272
2016-10-22,3.789690,3.954580,2.479290,2.903440,2.903440,96888
2016-10-23,3.009400,3.359330,2.691540,2.896420,2.896420,54646
2016-10-24,2.896820,3.847840,2.873110,3.490390,3.490390,78357
2016-10-25,3.491680,4.064610,3.294280,3.330380,3.330380,63009
2016-10-26,3.299470,3.861080,3.068350,3.298090,3.298090,51248
2016-10-27,3.177420,3.449560,3.009270,3.290060,3.290060,48488
2016-10-28,3.291840,5.944370,3.226550,4.785170,4.785170,188021
2016-10-29,4.787500,4.852480,3.085280,3.440370,3.440370,134141
2016-10-30,3.437550,3.474230,3.012190,3.105940,3.105940,48229
2016-10-31,3.052370,3.300300,1.920540,2.379170,2.379170,60932
2016-11-01,2.380780,2.652120,2.043670,2.174090,2.174090,38834
2016-11-02,2.175490,2.180100,1.664360,1.976650,1.976650,26690
2016-11-03,1.916800,2.229780,1.695590,1.723420,1.723420,23061
2016-11-04,1.723790,2.184250,1.612010,2.018540,2.018540,19695
2016-11-05,2.069420,2.384650,1.824330,1.935730,1.935730,17390
2016-11-06,1.936640,1.995180,1.721620,1.737050,1.737050,13109
2016-11-07,1.737050,1.887360,1.064610,1.160390,1.160390,38064
2016-11-08,1.160390,1.196680,1.101460,1.127550,1.127550,12569
2016-11-09,1.127510,1.146330,0.794433,0.796898,0.796898,13381
2016-11-10,0.796427,0.949316,0.792840,0.796570,0.796570,5267
2016-11-11,0.796676,0.921254,0.796552,0.832300,0.832300,5063
2016-11-12,0.832688,0.887545,0.807772,0.807772,0.807772,3115
2016-11-13,0.807935,0.979520,0.702673,0.870200,0.870200,6763
2016-11-14,0.870158,0.915603,0.713498,0.880791,0.880791,6824
2016-11-15,0.881757,1.094120,0.749897,0.750268,0.750268,7422
2016-11-16,0.750317,0.755766,0.550871,0.566120,0.566120,11752
2016-11-17,0.559331,1.082530,0.559255,1.031140,1.031140,5983
2016-11-18,1.030450,1.117820,0.524407,0.634565,0.634565,7938
2016-11-19,0.634683,0.764350,0.593864,0.649329,0.649329,4149
