Date,Open,High,Low,Close,Adj Close,Volume
2020-09-28,2.611458,2.637766,2.583673,2.584049,2.584049,2990
2020-09-29,2.584049,2.589876,2.527193,2.569758,2.569758,2934
2020-09-30,2.569509,2.571541,2.517958,2.541967,2.541967,3101
2020-10-01,2.541967,2.573912,2.493448,2.515930,2.515930,2879
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,2.659184,2.669745,2.579920,2.623702,2.623702,3027
2020-10-06,2.623955,2.635594,2.602284,2.614380,2.614380,2794
2020-10-07,2.614368,2.650561,2.604527,2.612997,2.612997,2373
2020-10-08,2.613077,2.657168,2.574135,2.649673,2.649673,2937
2020-10-09,2.650465,2.742745,2.650465,2.728135,2.728135,2844
2020-10-10,2.595456,2.648294,2.589240,2.627462,2.627462,2635
2020-10-11,2.627462,2.654431,2.619057,2.652654,2.652654,2607
2020-10-12,2.652651,2.696617,2.622399,2.669808,2.669808,2648
2020-10-13,2.669810,2.669810,2.605960,2.618252,2.618252,2636
2020-10-14,2.618252,2.646022,2.600471,2.637830,2.637830,2653
2020-10-15,2.637827,2.640041,2.591954,2.602924,2.602924,2504
2020-10-16,2.602948,2.620548,2.573778,2.617079,2.617079,2632
2020-10-17,2.617079,2.630899,2.590209,2.620290,2.620290,2195
2020-10-18,2.620278,2.637960,2.606233,2.618670,2.618670,2566
2020-10-19,2.618670,2.702060,2.616853,2.683530,2.683530,2710
2020-10-20,2.683528,2.719815,2.661335,2.691990,2.691990,2735
2020-10-21,2.691869,2.913216,2.688853,2.847383,2.847383,2653
2020-10-22,2.847391,2.869883,2.836364,2.840534,2.840534,2857
2020-10-23,2.840534,2.898684,2.830471,2.837673,2.837673,2763
2020-10-24,2.838103,2.889439,2.794042,2.889439,2.889439,2758
2020-10-25,2.888896,2.905356,2.803242,2.803242,2.803242,2894
2020-10-26,2.803949,2.928826,2.797276,2.889159,2.889159,2903
2020-10-27,2.889227,2.900820,2.826491,2.878723,2.878723,2750
2020-10-28,2.880521,2.891619,2.779989,2.824695,2.824695,2884
2020-10-29,2.824421,2.887340,2.775115,2.833305,2.833305,2708
2020-10-30,2.832000,2.864003,2.801935,2.817496,2.817496,2759
2020-10-31,2.815199,2.913241,2.810744,2.866784,2.866784,2919
2020-11-01,2.867019,2.875679,2.780813,2.869783,2.869783,3004
2020-11-02,2.872609,2.943459,2.846410,2.856410,2.856410,2620
2020-11-03,2.855397,2.992875,2.813824,2.989851,2.989851,2965
2020-11-04,2.994383,2.997038,2.875785,2.905512,2.905512,2824
2020-11-05,2.906200,3.122707,2.882494,3.103328,3.103328,3144
2020-11-06,3.103369,3.185897,3.045048,3.081011,3.081011,2897
2020-11-07,3.081013,3.113808,2.924958,2.982471,2.982471,3050
2020-11-08,2.982499,3.191621,2.970330,3.186831,3.186831,3155
2020-11-09,3.186942,3.289571,3.160975,3.281108,3.281108,2326
2020-11-10,3.281003,3.382649,3.263133,3.277073,3.277073,2637
2020-11-11,3.276920,3.423800,3.257097,3.328974,3.328974,2559
2020-11-12,3.330353,3.340022,3.175831,3.337427,3.337427,2636
2020-11-13,3.336704,3.520038,3.336704,3.502062,3.502062,2800
2020-11-14,3.502055,3.524591,3.363017,3.397974,3.397974,2641
2020-11-15,3.398091,3.424570,3.268169,3.323237,3.323237,2745
2020-11-16,3.323231,3.572900,3.312593,3.543482,3.543482,2707
2020-11-17,3.544441,3.672072,3.429178,3.586833,3.586833,2916
2020-11-18,3.586937,3.867160,3.572698,3.843435,3.843435,2987
2020-11-19,3.843701,3.898848,3.663479,3.755060,3.755060,3091
2020-11-20,3.754986,3.929259,3.742187,3.801566,3.801566,2916
2020-11-21,3.801456,3.915952,3.782269,3.834209,3.834209,2933
2020-11-22,3.834608,3.989440,3.718674,3.950037,3.950037,3198
2020-11-23,3.949818,3.966002,3.737599,3.769910,3.769910,2823
2020-11-24,3.771730,3.951714,3.722484,3.828613,3.828613,2976
2020-11-25,3.828356,3.935573,3.710747,3.922427,3.922427,2830
2020-11-26,3.922165,4.043353,3.576640,3.674585,3.674585,2573
2020-11-27,3.675531,3.689579,3.358457,3.389237,3.389237,0
2020-11-28,3.389281,3.508802,3.364241,3.489146,3.489146,0
2020-11-29,3.488766,3.575305,3.459811,3.547540,3.547540,0
2020-11-30,3.547433,3.740719,3.547433,3.722625,3.722625,0
2020-12-01,3.722422,3.751166,3.508803,3.576222,3.576222,0
2020-12-02,3.576182,3.647362,3.525722,3.628122,3.628122,0
2020-12-03,3.627494,3.694417,3.594225,3.667550,3.667550,0
2020-12-04,3.668011,3.677426,3.552489,3.559925,3.559925,0
2020-12-05,3.554365,3.630044,1.991881,2.006836,2.006836,0
2020-12-06,2.007698,2.398288,1.980877,2.393037,2.393037,0
2020-12-07,2.393058,2.398301,2.357687,2.374051,2.374051,0
2020-12-08,2.373716,2.381206,2.281417,2.293842,2.293842,0
2020-12-09,2.293697,2.302922,2.233915,2.296140,2.296140,0
2020-12-10,2.295976,2.296796,2.248069,2.269523,2.269523,0
2020-12-11,2.269736,2.271189,2.219902,2.254980,2.254980,0
2020-12-12,2.254938,2.316218,2.253240,2.306578,2.306578,0
2020-12-13,2.306252,2.352202,2.303130,2.345535,2.345535,0
2020-12-14,2.345561,2.357513,2.326557,2.341718,2.341718,0
2020-12-15,2.341666,2.356409,1.500042,1.501422,1.501422,0
2020-12-16,1.501422,2.275124,1.496528,2.269156,2.269156,0
2020-12-17,2.269470,2.536578,2.263597,2.416497,2.416497,0
2020-12-18,2.415671,2.489205,2.371693,2.465476,2.465476,0
2020-12-19,2.466238,2.544505,2.445940,2.511983,2.511983,0
2020-12-20,2.512288,2.725712,2.457628,2.708942,2.708942,0
2020-12-21,2.707310,2.949272,2.583215,2.734786,2.734786,0
2020-12-22,2.733024,2.752619,2.594172,2.683066,2.683066,0
2020-12-23,2.682918,2.757084,2.391425,2.443208,2.443208,0
2020-12-24,2.442143,2.703514,2.411639,2.701237,2.701237,0
2020-12-25,2.700316,2.746291,2.655569,2.736878,2.736878,0
2020-12-26,2.736475,2.802507,2.695344,2.770956,2.770956,0
2020-12-27,2.771246,2.904598,2.741469,2.783056,2.783056,0
2020-12-28,2.781962,2.856194,2.774033,2.823173,2.823173,0
2020-12-29,2.769881,2.824545,2.720649,2.765306,2.765306,0
