Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,0.031979,0.034586,0.029701,0.032895,0.032895,10247281
2020-05-08,0.032895,0.034767,0.031020,0.033151,0.033151,9153684
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,0.027228,0.029168,0.025558,0.026574,0.026574,7469001
2020-05-17,0.027418,0.029737,0.025890,0.027202,0.027202,7887567
2020-05-18,0.026968,0.028626,0.026284,0.027651,0.027651,8041458
2020-05-19,0.027405,0.031030,0.026627,0.029294,0.029294,7169439
2020-05-20,0.029473,0.031053,0.028117,0.028486,0.028486,5752771
2020-05-21,0.028582,0.028905,0.027220,0.028020,0.028020,6494904
2020-05-22,0.027804,0.029679,0.026825,0.027666,0.027666,7781966
2020-05-23,0.028033,0.028808,0.026028,0.027422,0.027422,6270071
2020-05-24,0.027421,0.028120,0.025871,0.027773,0.027773,3494690
2020-05-25,0.026742,0.028165,0.025722,0.026398,0.026398,7005373
2020-05-26,0.026293,0.027932,0.025138,0.025410,0.025410,5926297
2020-05-27,0.025410,0.031136,0.025068,0.029033,0.029033,6038800
2020-05-28,0.030025,0.031012,0.028036,0.029951,0.029951,4700412
2020-05-29,0.029779,0.031585,0.029209,0.030363,0.030363,3824535
2020-05-30,0.030372,0.032396,0.029855,0.031629,0.031629,4957576
2020-05-31,0.031629,0.032602,0.029275,0.030184,0.030184,6196179
2020-06-01,0.030018,0.030866,0.028452,0.030208,0.030208,5886552
2020-06-02,0.030233,0.031444,0.027523,0.029158,0.029158,7363967
2020-06-03,0.029158,0.031648,0.028213,0.028914,0.028914,4855430
2020-06-04,0.028893,0.029990,0.028298,0.029459,0.029459,5671574
2020-06-05,0.029459,0.030433,0.027715,0.028838,0.028838,6802476
2020-06-06,0.028838,0.029827,0.027906,0.028818,0.028818,5983245
2020-06-07,0.028818,0.030297,0.027551,0.030015,0.030015,5984009
2020-06-08,0.029489,0.030321,0.027910,0.028394,0.028394,5364237
2020-06-09,0.028744,0.029463,0.027991,0.029213,0.029213,6092241
2020-06-10,0.029143,0.030599,0.028016,0.030312,0.030312,7045216
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,0.030090,0.032329,0.029749,0.031105,0.031105,6158337
2020-06-15,0.031105,0.031767,0.029362,0.031300,0.031300,6906552
2020-06-16,0.031239,0.045107,0.029930,0.041266,0.041266,8615701
2020-06-17,0.043508,0.051158,0.038941,0.040623,0.040623,10280815
2020-06-18,0.040623,0.044312,0.040527,0.042952,0.042952,7394734
2020-06-19,0.041181,0.046504,0.040291,0.044806,0.044806,8228697
2020-06-20,null,null,null,null,null,null
2020-06-21,0.044069,0.046734,0.043523,0.043601,0.043601,6548349
2020-06-22,null,null,null,null,null,null
2020-06-23,0.045402,0.047051,0.045075,0.046965,0.046965,2230605
2020-06-24,0.046985,0.047533,0.045271,0.046396,0.046396,2775518
2020-06-25,0.046369,0.047038,0.044167,0.044518,0.044518,2539936
2020-06-26,0.044489,0.045868,0.043435,0.044196,0.044196,2589664
2020-06-27,null,null,null,null,null,null
2020-06-28,0.041612,0.045336,0.039698,0.045118,0.045118,2052623
2020-06-29,0.045118,0.046049,0.043343,0.044911,0.044911,2405304
2020-06-30,0.044900,0.045437,0.042561,0.044370,0.044370,2162099
2020-07-01,0.044380,0.044773,0.041476,0.043160,0.043160,2240737
2020-07-02,0.043138,0.043317,0.040053,0.042888,0.042888,2276673
2020-07-03,0.043069,0.043422,0.040744,0.041533,0.041533,2321176
2020-07-04,0.041686,0.042842,0.039734,0.041218,0.041218,2282557
2020-07-05,0.041129,0.041419,0.038955,0.040244,0.040244,2198669
2020-07-06,0.040244,0.041914,0.039286,0.040875,0.040875,2372065
2020-07-07,0.040818,0.041824,0.039256,0.040463,0.040463,2167175
2020-07-08,0.040763,0.041549,0.038972,0.040274,0.040274,2063877
2020-07-09,0.040165,0.040808,0.037977,0.038605,0.038605,1727907
2020-07-10,0.038611,0.039431,0.035433,0.036448,0.036448,1548287
2020-07-11,0.036420,0.037295,0.035249,0.036846,0.036846,1491944
2020-07-12,0.036850,0.042989,0.036694,0.041505,0.041505,1996489
2020-07-13,0.041505,0.042888,0.039796,0.040287,0.040287,2416160
2020-07-14,0.040287,0.041500,0.037696,0.038068,0.038068,1274500
2020-07-15,0.038063,0.038288,0.035158,0.035973,0.035973,922530
2020-07-16,0.036254,0.041767,0.035074,0.035883,0.035883,1002365
2020-07-17,0.035833,0.037067,0.035078,0.036968,0.036968,908107
2020-07-18,0.036934,0.037397,0.036335,0.036599,0.036599,878906
2020-07-19,0.036617,0.045251,0.036272,0.042695,0.042695,1526349
2020-07-20,0.042668,0.044828,0.040958,0.041625,0.041625,1456233
2020-07-21,0.041618,0.043831,0.040527,0.042226,0.042226,1474600
2020-07-22,0.042194,0.043584,0.038172,0.040268,0.040268,1109662
2020-07-23,0.040268,0.045067,0.039268,0.044903,0.044903,1561701
2020-07-24,0.044903,0.045250,0.042304,0.043189,0.043189,1623006
2020-07-25,0.043243,0.045990,0.040931,0.044539,0.044539,2024859
2020-07-26,0.044546,0.050203,0.044009,0.045565,0.045565,2267725
2020-07-27,0.045565,0.049141,0.043775,0.044976,0.044976,3610271
2020-07-28,0.044939,0.047620,0.043078,0.044732,0.044732,2877427
