Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,1.252063,1.649610,1.227075,1.429311,1.429311,225036
2020-05-08,1.429311,1.681800,1.374376,1.439067,1.439067,231778
2020-05-09,null,null,null,null,null,null
2020-05-10,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-16,1.362421,1.471409,1.334011,1.443485,1.443485,191785
2020-05-17,1.443899,1.565061,1.418100,1.485151,1.485151,228193
2020-05-18,1.501747,1.599170,1.456368,1.514846,1.514846,221038
2020-05-19,1.525605,1.540598,1.440863,1.488133,1.488133,219301
2020-05-20,1.514533,1.523693,1.408885,1.463141,1.463141,194033
2020-05-21,1.435581,1.542120,1.369172,1.440763,1.440763,205530
2020-05-22,1.415148,1.648975,1.384306,1.505569,1.505569,194547
2020-05-23,1.517305,1.565677,1.392293,1.518540,1.518540,201614
2020-05-24,1.532709,1.566630,1.326764,1.331982,1.331982,183512
2020-05-25,1.345307,1.392880,1.294026,1.325070,1.325070,194332
2020-05-26,1.324890,1.411336,1.303919,1.332036,1.332036,199453
2020-05-27,1.332036,1.489079,1.322893,1.332476,1.332476,200632
2020-05-28,1.382479,1.612025,1.303051,1.578480,1.578480,208209
2020-05-29,1.549128,1.733792,1.390253,1.417299,1.417299,156616
2020-05-30,1.417189,1.472826,1.324439,1.354685,1.354685,209517
2020-05-31,1.355821,1.391709,1.263123,1.322747,1.322747,182053
2020-06-01,1.322435,1.522803,1.291746,1.461046,1.461046,127766
2020-06-02,1.467149,1.519258,1.355380,1.401674,1.401674,215406
2020-06-03,1.401674,1.420240,1.323921,1.387970,1.387970,168636
2020-06-04,1.368707,1.393746,1.278926,1.299165,1.299165,195616
2020-06-05,1.299165,1.469956,1.288607,1.395350,1.395350,187598
2020-06-06,1.395350,1.466290,1.316593,1.366935,1.366935,202800
2020-06-07,1.366935,1.425451,1.281528,1.345375,1.345375,177458
2020-06-08,1.336684,1.355830,1.167181,1.283952,1.283952,176857
2020-06-09,1.265427,1.530347,1.205803,1.384415,1.384415,219135
2020-06-10,1.371999,1.460880,1.338075,1.391034,1.391034,196457
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null
2020-06-14,1.723440,1.884777,1.711739,1.823930,1.823930,252811
2020-06-15,1.833108,2.044321,1.762059,1.886425,1.886425,228398
2020-06-16,1.893320,2.108497,1.852514,2.076273,2.076273,265542
2020-06-17,2.076465,2.157095,1.849505,2.063842,2.063842,272666
2020-06-18,2.063779,2.353746,2.024209,2.309496,2.309496,293962
2020-06-19,2.312155,2.740232,2.273388,2.362922,2.362922,320346
2020-06-20,null,null,null,null,null,null
2020-06-21,2.147519,2.336983,2.087449,2.274260,2.274260,268734
2020-06-22,null,null,null,null,null,null
2020-06-23,2.545815,2.801234,2.344266,2.554564,2.554564,298984
2020-06-24,2.547273,2.572210,2.245083,2.375397,2.375397,215685
2020-06-25,2.377787,2.770609,2.244967,2.357236,2.357236,299742
2020-06-26,2.342853,2.511739,2.149131,2.458479,2.458479,314725
2020-06-27,null,null,null,null,null,null
2020-06-28,2.338115,2.567714,2.208672,2.437783,2.437783,290835
2020-06-29,2.437840,2.459731,2.090650,2.271780,2.271780,208570
2020-06-30,2.267931,2.400219,2.189028,2.337679,2.337679,295535
2020-07-01,2.361831,2.536787,2.194848,2.461658,2.461658,238617
2020-07-02,2.456243,2.485092,2.371796,2.464514,2.464514,300841
2020-07-03,2.455454,2.547971,2.382972,2.528885,2.528885,295081
2020-07-04,2.520006,2.547490,2.232760,2.237239,2.237239,286387
2020-07-05,2.230324,2.534293,2.218241,2.357405,2.357405,273378
2020-07-06,2.357405,2.760388,2.342235,2.576189,2.576189,281848
2020-07-07,2.589195,2.622311,2.291346,2.576398,2.576398,327980
2020-07-08,2.576398,2.708639,2.559040,2.595549,2.595549,177297
2020-07-09,2.587923,2.719760,2.448245,2.609134,2.609134,325775
2020-07-10,2.618681,2.690154,2.473378,2.651295,2.651295,335170
2020-07-11,2.645226,2.883469,2.557462,2.755913,2.755913,358120
2020-07-12,2.755860,3.537164,2.414178,2.704637,2.704637,325751
2020-07-13,2.704637,3.129023,2.296573,2.347019,2.347019,288982
2020-07-14,2.347019,2.695980,2.222384,2.552597,2.552597,301157
2020-07-15,2.546821,2.630081,2.291486,2.630081,2.630081,346706
2020-07-16,2.614406,2.619020,1.986560,2.068687,2.068687,226200
2020-07-17,2.085183,2.127425,1.673079,1.876392,1.876392,229763
2020-07-18,1.882477,2.520303,1.846792,2.235237,2.235237,299897
2020-07-19,2.218895,2.325417,1.903265,2.000466,2.000466,204160
2020-07-20,2.003520,2.176965,1.806273,1.853386,1.853386,249776
2020-07-21,1.831628,2.205154,1.795620,1.952021,1.952021,261455
2020-07-22,1.950203,2.050991,1.843624,2.016199,2.016199,262238
2020-07-23,2.016199,2.244753,1.873583,1.936115,1.936115,227471
2020-07-24,1.936115,2.033210,1.656252,1.837632,1.837632,234911
2020-07-25,1.826623,2.056676,1.781041,1.926018,1.926018,249695
2020-07-26,1.881429,2.141728,1.881429,2.018428,2.018428,245233
2020-07-27,2.018480,2.456728,2.018480,2.388600,2.388600,295767
2020-07-28,2.413753,2.743189,2.266088,2.566370,2.566370,321169
2020-07-29,2.570626,3.004663,2.415534,2.535845,2.535845,319110
2020-07-30,2.535845,2.793934,2.398411,2.666574,2.666574,332747
2020-07-31,2.667072,2.880505,2.574011,2.649945,2.649945,303642
2020-08-01,2.649945,2.834581,2.630583,2.779814,2.779814,338106
2020-08-02,2.767199,2.767199,2.206827,2.237557,2.237557,304665
2020-08-03,2.237557,2.632993,2.225013,2.452777,2.452777,317131
2020-08-04,2.452545,2.536955,2.321460,2.423859,2.423859,280747
2020-08-05,2.422528,2.573128,2.396846,2.447413,2.447413,330626
2020-08-06,2.447413,2.494846,2.053665,2.072171,2.072171,307062
2020-08-07,2.059361,2.295900,1.827250,2.149930,2.149930,296576
2020-08-08,2.135700,2.179154,1.600665,1.695660,1.695660,250444
2020-08-09,1.703224,1.824418,1.673808,1.721897,1.721897,226309
2020-08-10,1.721897,2.096352,1.556968,1.690086,1.690086,260459
2020-08-11,1.690649,1.755932,1.431584,1.617070,1.617070,208315
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,2.652171,3.819191,2.602878,2.703261,2.703261,306124
2020-08-17,2.703261,2.893478,2.179329,2.428421,2.428421,344732
2020-08-18,2.406115,2.632623,2.302639,2.446008,2.446008,322911
2020-08-19,2.445916,2.793427,2.147863,2.443173,2.443173,259842
2020-08-20,2.443173,2.753913,2.085318,2.234755,2.234755,311155
2020-08-21,2.226367,2.259214,1.889580,1.986755,1.986755,216870
2020-08-22,1.992072,2.369850,1.884434,2.166562,2.166562,310901
2020-08-23,2.189825,2.535832,1.952292,2.334684,2.334684,308152
2020-08-24,2.316858,2.562067,2.231529,2.307298,2.307298,289862
2020-08-25,2.309852,2.698138,2.267846,2.530221,2.530221,317315
2020-08-26,2.516222,2.982535,2.380045,2.850355,2.850355,363231
2020-08-27,2.849430,2.981007,2.322158,2.582609,2.582609,306643
2020-08-28,2.592511,3.191725,2.327317,2.964518,2.964518,390015
2020-08-29,2.963462,3.029402,2.565201,2.596078,2.596078,295113
2020-08-30,2.594564,2.956174,2.464310,2.784625,2.784625,236384
2020-08-31,2.785361,3.018529,2.635108,2.639470,2.639470,391177
2020-09-01,2.638608,2.953447,2.489298,2.489298,2.489298,318911
2020-09-02,2.519608,2.839738,2.344506,2.574631,2.574631,259435
