Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,0.111725,0.280031,0.103962,0.224399,0.224399,5232600
2017-08-17,0.223022,0.238935,0.206735,0.206735,0.206735,2752410
2017-08-18,0.205558,0.350260,0.205558,0.293387,0.293387,12793800
2017-08-19,0.294578,0.543728,0.284357,0.478768,0.478768,52677500
2017-08-20,0.471296,0.475262,0.403409,0.424265,0.424265,16016500
2017-08-21,0.422273,0.443680,0.327742,0.351503,0.351503,15013800
2017-08-22,0.351547,0.375577,0.315831,0.364505,0.364505,8045240
2017-08-23,0.364010,0.410874,0.364010,0.386673,0.386673,8663860
2017-08-24,0.382705,0.392537,0.372134,0.385310,0.385310,6227850
2017-08-25,0.387431,0.394479,0.345851,0.361609,0.361609,6146620
2017-08-26,0.362022,0.377722,0.324328,0.355843,0.355843,10377400
2017-08-27,0.354806,0.356997,0.333831,0.351523,0.351523,4536030
2017-08-28,0.352459,0.354823,0.323620,0.343713,0.343713,6639910
2017-08-29,0.341101,0.372469,0.341101,0.359571,0.359571,6321130
2017-08-30,0.361106,0.364266,0.330510,0.331930,0.331930,5733410
2017-08-31,0.330970,0.374500,0.323976,0.369852,0.369852,6919520
2017-09-01,0.372777,0.402174,0.361104,0.385751,0.385751,9229510
2017-09-02,0.384540,0.391341,0.303908,0.305877,0.305877,6092920
2017-09-03,0.307518,0.328170,0.283449,0.287915,0.287915,4038540
2017-09-04,0.285917,0.286994,0.210171,0.237356,0.237356,10708700
2017-09-05,0.236484,0.247325,0.203388,0.240646,0.240646,5406050
2017-09-06,0.236535,0.258303,0.235836,0.254545,0.254545,3987820
2017-09-07,0.256450,0.331923,0.254505,0.308967,0.308967,8513980
2017-09-08,0.309705,0.313270,0.237483,0.259444,0.259444,5590490
2017-09-09,0.258422,0.259154,0.240122,0.257112,0.257112,1972250
2017-09-10,0.258124,0.258124,0.231890,0.246550,0.246550,2159810
2017-09-11,0.246839,0.275266,0.236536,0.275226,0.275226,4856890
2017-09-12,0.275405,0.289507,0.251309,0.255598,0.255598,3791170
2017-09-13,0.257031,0.257911,0.212135,0.223347,0.223347,3405890
2017-09-14,0.223408,0.228707,0.175010,0.175010,0.175010,3056000
2017-09-15,0.176447,0.216716,0.156424,0.205293,0.205293,3595670
2017-09-16,0.208816,0.213989,0.195698,0.209666,0.209666,1383050
2017-09-17,0.209860,0.215940,0.191466,0.207021,0.207021,986802
2017-09-18,0.208220,0.238528,0.208165,0.230369,0.230369,1865790
2017-09-19,0.231063,0.231530,0.203297,0.204615,0.204615,2320980
2017-09-20,0.203443,0.210435,0.199088,0.201347,0.201347,1849880
2017-09-21,0.200290,0.206032,0.175413,0.178186,0.178186,1657700
2017-09-22,0.176962,0.187321,0.171743,0.183742,0.183742,1561690
2017-09-23,0.182643,0.190476,0.180347,0.187938,0.187938,931322
2017-09-24,0.187838,0.190817,0.175413,0.177380,0.177380,1091020
2017-09-25,0.177336,0.200598,0.174887,0.194848,0.194848,1820160
2017-09-26,0.195085,0.199860,0.189107,0.196489,0.196489,1508980
2017-09-27,0.195748,0.233405,0.195049,0.232705,0.232705,2398430
2017-09-28,0.231448,0.238562,0.215112,0.216788,0.216788,1822680
